00:02:14:13 | W | Mismatching | SEQ : 20174830530, PART : 52124713AD, SCAN TQ41977C0838, CELL [1,1]
11:20:36:98 | I | Matching ok | SEQ : 20174835260, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
11:20:39:75 | I | Matching ok | SEQ : 20174835250, PART : 52124713AD, SCAN P52124713AD, CELL [2,3]
11:20:43:46 | I | Matching ok | SEQ : 20174835240, PART : 52124713AD, SCAN P52124713AD, CELL [2,4]
11:20:46:81 | I | Matching ok | SEQ : 20174835230, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
11:20:50:48 | I | Matching ok | SEQ : 20174835220, PART : 52124713AD, SCAN P52124713AD, CELL [2,6]
11:33:24:47 | I | Matching ok | SEQ : 20174835330, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
11:33:28:30 | I | Matching ok | SEQ : 20174835320, PART : 52124713AD, SCAN P52124713AD, CELL [1,2]
11:33:32:05 | I | Matching ok | SEQ : 20174835310, PART : 52124713AD, SCAN P52124713AD, CELL [1,3]
11:33:36:02 | I | Matching ok | SEQ : 20174835300, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
11:33:40:22 | I | Matching ok | SEQ : 20174835290, PART : 52124713AD, SCAN P52124713AD, CELL [1,5]
11:33:44:05 | I | Matching ok | SEQ : 20174835280, PART : 52124713AD, SCAN P52124713AD, CELL [1,6]
11:33:47:70 | I | Matching ok | SEQ : 20174835390, PART : 52124713AD, SCAN P52124713AD, CELL [2,1]
11:33:49:71 | I | Matching ok | SEQ : 20174835380, PART : N/A, SCAN N/A, CELL [2,2]
11:33:52:75 | I | Matching ok | SEQ : 20174835370, PART : 52124713AD, SCAN P52124713AD, CELL [2,3]
11:33:56:15 | I | Matching ok | SEQ : 20174835360, PART : 52124713AD, SCAN P52124713AD, CELL [2,4]
11:33:58:16 | I | Matching ok | SEQ : 20174835350, PART : N/A, SCAN N/A, CELL [2,5]
11:34:00:17 | I | Matching ok | SEQ : 20174835340, PART : N/A, SCAN N/A, CELL [2,6]
11:48:00:04 | I | Matching ok | SEQ : 20174835450, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
11:48:02:07 | I | Matching ok | SEQ : 20174835440, PART : N/A, SCAN N/A, CELL [1,2]
11:48:04:97 | I | Matching ok | SEQ : 20174835430, PART : 52124713AD, SCAN P52124713AD, CELL [1,3]
11:48:07:52 | I | Matching ok | SEQ : 20174835420, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
11:48:10:54 | I | Matching ok | SEQ : 20174835410, PART : 52124713AD, SCAN P52124713AD, CELL [1,5]
11:48:13:79 | I | Matching ok | SEQ : 20174835400, PART : 52124713AD, SCAN P52124713AD, CELL [1,6]
11:48:16:97 | I | Matching ok | SEQ : 20174835510, PART : 52124713AD, SCAN P52124713AD, CELL [2,1]
11:48:20:37 | I | Matching ok | SEQ : 20174835500, PART : 52124713AD, SCAN P52124713AD, CELL [2,2]
11:48:23:67 | I | Matching ok | SEQ : 20174835490, PART : 52124713AD, SCAN P52124713AD, CELL [2,3]
11:48:26:65 | I | Matching ok | SEQ : 20174835480, PART : 52124713AD, SCAN P52124713AD, CELL [2,4]
11:48:30:27 | I | Matching ok | SEQ : 20174835470, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
11:48:33:82 | I | Matching ok | SEQ : 20174835460, PART : 52124713AD, SCAN P52124713AD, CELL [2,6]
12:00:31:48 | I | Matching ok | SEQ : 20174835570, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
12:00:35:21 | I | Matching ok | SEQ : 20174835560, PART : 52124713AD, SCAN P52124713AD, CELL [1,2]
12:00:39:39 | I | Matching ok | SEQ : 20174835550, PART : 52124713AD, SCAN P52124713AD, CELL [1,3]
12:00:41:41 | I | Matching ok | SEQ : 20174835540, PART : N/A, SCAN N/A, CELL [1,4]
12:00:44:71 | I | Matching ok | SEQ : 20174835530, PART : 04578885AC, SCAN P04578885AC, CELL [1,5]
12:00:49:59 | I | Matching ok | SEQ : 20174835520, PART : 52124713AD, SCAN P52124713AD, CELL [1,6]
12:00:51:62 | I | Matching ok | SEQ : 20174835630, PART : N/A, SCAN N/A, CELL [2,1]
12:00:55:06 | I | Matching ok | SEQ : 20174835620, PART : 52124713AD, SCAN P52124713AD, CELL [2,2]
12:00:58:76 | I | Matching ok | SEQ : 20174835610, PART : 52124713AD, SCAN P52124713AD, CELL [2,3]
12:01:02:66 | I | Matching ok | SEQ : 20174835600, PART : 52124713AD, SCAN P52124713AD, CELL [2,4]
12:01:06:96 | I | Matching ok | SEQ : 20174835590, PART : 52124713AD, SCAN P52124713AD, CELL [2,5]
12:01:11:16 | I | Matching ok | SEQ : 20174835580, PART : 52124713AD, SCAN P52124713AD, CELL [2,6]
12:21:55:99 | I | Matching ok | SEQ : 20174835690, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
12:21:58:79 | I | Matching ok | SEQ : 20174835680, PART : 52124713AD, SCAN P52124713AD, CELL [1,2]
12:22:00:81 | I | Matching ok | SEQ : 20174835670, PART : N/A, SCAN N/A, CELL [1,3]
12:22:04:46 | I | Matching ok | SEQ : 20174835660, PART : 52124713AD, SCAN P52124713AD, CELL [1,4]
12:22:06:49 | I | Matching ok | SEQ : 20174835650, PART : N/A, SCAN N/A, CELL [1,5]
12:22:09:07 | I | Matching ok | SEQ : 20174835640, PART : 52124713AD, SCAN P52124713AD, CELL [1,6]
12:22:12:44 | I | Matching ok | SEQ : 20174835750, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
12:22:15:37 | I | Matching ok | SEQ : 20174835740, PART : 52124713AD, SCAN P52124713AD, CELL [2,2]
12:22:18:52 | I | Matching ok | SEQ : 20174835730, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
12:22:20:54 | I | Matching ok | SEQ : 20174835720, PART : N/A, SCAN N/A, CELL [2,4]
12:22:23:72 | I | Matching ok | SEQ : 20174835710, PART : 52124713AD, SCAN P52124713AD, CELL [2,5]
12:22:27:42 | I | Matching ok | SEQ : 20174835700, PART : 52124713AD, SCAN P52124713AD, CELL [2,6]
12:35:54:41 | I | Matching ok | SEQ : 20174835810, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
12:35:58:29 | I | Matching ok | SEQ : 20174835800, PART : 52124713AD, SCAN P52124713AD, CELL [1,2]
12:36:01:84 | I | Matching ok | SEQ : 20174835790, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
12:36:05:84 | I | Matching ok | SEQ : 20174835780, PART : 52124713AD, SCAN P52124713AD, CELL [1,4]
12:36:09:69 | I | Matching ok | SEQ : 20174835770, PART : 52124713AD, SCAN P52124713AD, CELL [1,5]
12:36:23:42 | I | Matching ok | SEQ : 20174835760, PART : 52124713AD, SCAN P52124713AD, CELL [1,6]
12:36:27:26 | I | Matching ok | SEQ : 20174835870, PART : 52124713AD, SCAN P52124713AD, CELL [2,1]
12:36:31:26 | I | Matching ok | SEQ : 20174835860, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
12:36:34:94 | I | Matching ok | SEQ : 20174835850, PART : 52124713AD, SCAN P52124713AD, CELL [2,3]
12:36:39:14 | I | Matching ok | SEQ : 20174835840, PART : 52124713AD, SCAN P52124713AD, CELL [2,4]
12:36:43:34 | I | Matching ok | SEQ : 20174835830, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
12:36:50:99 | I | Matching ok | SEQ : 20174835820, PART : 52124713AD, SCAN P52124713AD, CELL [2,6]
12:46:48:53 | I | Matching ok | SEQ : 20174835930, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
12:46:50:56 | I | Matching ok | SEQ : 20174835920, PART : N/A, SCAN N/A, CELL [1,2]
12:46:52:60 | I | Matching ok | SEQ : 20174835910, PART : N/A, SCAN N/A, CELL [1,3]
12:46:58:60 | I | Matching ok | SEQ : 20174835900, PART : 52124713AD, SCAN P52124713AD, CELL [1,4]
12:47:02:75 | I | Matching ok | SEQ : 20174835890, PART : 04578885AC, SCAN P04578885AC, CELL [1,5]
12:47:06:53 | I | Matching ok | SEQ : 20174835880, PART : 52124713AD, SCAN P52124713AD, CELL [1,6]
12:47:10:95 | I | Matching ok | SEQ : 20174835990, PART : 52124713AD, SCAN P52124713AD, CELL [2,1]
12:47:14:03 | I | Matching ok | SEQ : 20174835980, PART : 52124713AD, SCAN P52124713AD, CELL [2,2]
12:47:23:13 | I | Matching ok | SEQ : 20174835970, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
12:47:27:91 | I | Matching ok | SEQ : 20174835960, PART : 52124713AD, SCAN P52124713AD, CELL [2,4]
12:47:31:50 | I | Matching ok | SEQ : 20174835950, PART : 52124713AD, SCAN P52124713AD, CELL [2,5]
12:47:33:52 | I | Matching ok | SEQ : 20174835940, PART : N/A, SCAN N/A, CELL [2,6]
12:57:34:12 | I | Matching ok | SEQ : 20174836050, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
12:57:38:37 | I | Matching ok | SEQ : 20174836040, PART : 52124713AD, SCAN P52124713AD, CELL [1,2]
12:57:42:94 | I | Matching ok | SEQ : 20174836030, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
12:57:47:17 | I | Matching ok | SEQ : 20174836020, PART : 52124713AD, SCAN P52124713AD, CELL [1,4]
12:57:51:99 | I | Matching ok | SEQ : 20174836010, PART : 52124713AD, SCAN P52124713AD, CELL [1,5]
12:57:56:62 | I | Matching ok | SEQ : 20174836000, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
12:58:01:42 | I | Matching ok | SEQ : 20174836110, PART : 52124713AD, SCAN P52124713AD, CELL [2,1]
12:58:03:44 | I | Matching ok | SEQ : 20174836100, PART : N/A, SCAN N/A, CELL [2,2]
12:58:05:45 | I | Matching ok | SEQ : 20174836090, PART : N/A, SCAN N/A, CELL [2,3]
12:58:12:24 | I | Matching ok | SEQ : 20174836080, PART : 52124713AD, SCAN P52124713AD, CELL [2,4]
12:58:14:26 | I | Matching ok | SEQ : 20174836070, PART : N/A, SCAN N/A, CELL [2,5]
12:58:18:37 | I | Matching ok | SEQ : 20174836060, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
13:07:09:03 | I | Matching ok | SEQ : 20174836170, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
13:07:12:16 | I | Matching ok | SEQ : 20174836160, PART : 52124713AD, SCAN P52124713AD, CELL [1,2]
13:07:14:58 | I | Matching ok | SEQ : 20174836150, PART : 52124713AD, SCAN P52124713AD, CELL [1,3]
13:07:17:31 | I | Matching ok | SEQ : 20174836140, PART : 52124713AD, SCAN P52124713AD, CELL [1,4]
13:07:21:71 | I | Matching ok | SEQ : 20174836130, PART : 04578885AC, SCAN P04578885AC, CELL [1,5]
13:07:26:28 | I | Matching ok | SEQ : 20174836120, PART : 52124713AD, SCAN P52124713AD, CELL [1,6]
13:07:29:93 | I | Matching ok | SEQ : 20174836230, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
13:07:32:16 | I | Matching ok | SEQ : 20174836220, PART : 52124713AD, SCAN P52124713AD, CELL [2,2]
13:07:36:38 | I | Matching ok | SEQ : 20174836210, PART : 52124713AD, SCAN P52124713AD, CELL [2,3]
13:07:40:38 | I | Matching ok | SEQ : 20174836200, PART : 04578885AC, SCAN P04578885AC, CELL [2,4]
13:07:44:16 | I | Matching ok | SEQ : 20174836190, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
13:07:49:66 | I | Matching ok | SEQ : 20174836180, PART : 52124713AD, SCAN P52124713AD, CELL [2,6]
13:15:56:77 | I | Matching ok | SEQ : 20174836290, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
13:15:59:95 | I | Matching ok | SEQ : 20174836280, PART : 52124713AD, SCAN P52124713AD, CELL [1,2]
13:16:01:98 | I | Matching ok | SEQ : 20174836270, PART : N/A, SCAN N/A, CELL [1,3]
13:16:04:80 | I | Matching ok | SEQ : 20174836260, PART : 52124713AD, SCAN P52124713AD, CELL [1,4]
13:16:08:20 | I | Matching ok | SEQ : 20174836250, PART : 52124713AD, SCAN P52124713AD, CELL [1,5]
13:16:10:23 | I | Matching ok | SEQ : 20174836240, PART : N/A, SCAN N/A, CELL [1,6]
13:16:23:72 | I | Matching ok | SEQ : 20174836350, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
13:16:26:32 | I | Matching ok | SEQ : 20174836340, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
13:16:28:35 | I | Matching ok | SEQ : 20174836330, PART : N/A, SCAN N/A, CELL [2,3]
13:16:30:45 | I | Matching ok | SEQ : 20174836320, PART : 52124713AD, SCAN P52124713AD, CELL [2,4]
13:16:33:07 | I | Matching ok | SEQ : 20174836310, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
13:16:36:37 | I | Matching ok | SEQ : 20174836300, PART : 52124713AD, SCAN P52124713AD, CELL [2,6]
13:29:25:59 | I | Matching ok | SEQ : 20174836410, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
13:29:27:86 | I | Matching ok | SEQ : 20174836400, PART : 52124713AD, SCAN P52124713AD, CELL [1,2]
13:29:30:09 | I | Matching ok | SEQ : 20174836390, PART : 52124713AD, SCAN P52124713AD, CELL [1,3]
13:29:35:29 | I | Matching ok | SEQ : 20174836380, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
13:29:37:33 | I | Matching ok | SEQ : 20174836370, PART : N/A, SCAN N/A, CELL [1,5]
13:29:40:54 | I | Matching ok | SEQ : 20174836360, PART : 52124713AD, SCAN P52124713AD, CELL [1,6]
13:29:43:81 | I | Matching ok | SEQ : 20174836470, PART : 52124713AD, SCAN P52124713AD, CELL [2,1]
13:29:46:39 | I | Matching ok | SEQ : 20174836460, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
13:29:48:41 | I | Matching ok | SEQ : 20174836450, PART : N/A, SCAN N/A, CELL [2,3]
13:29:51:62 | I | Matching ok | SEQ : 20174836440, PART : 04578885AC, SCAN P04578885AC, CELL [2,4]
13:29:56:96 | I | Matching ok | SEQ : 20174836430, PART : 52124713AD, SCAN P52124713AD, CELL [2,5]
13:29:58:97 | I | Matching ok | SEQ : 20174836420, PART : N/A, SCAN N/A, CELL [2,6]
13:51:41:72 | I | Matching ok | SEQ : 20174836530, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
13:51:45:95 | I | Matching ok | SEQ : 20174836520, PART : 52124713AD, SCAN P52124713AD, CELL [1,2]
13:51:49:40 | I | Matching ok | SEQ : 20174836510, PART : 52124713AD, SCAN P52124713AD, CELL [1,3]
13:51:53:33 | I | Matching ok | SEQ : 20174836500, PART : 52124713AD, SCAN P52124713AD, CELL [1,4]
13:52:00:82 | I | Matching ok | SEQ : 20174836490, PART : 04578885AC, SCAN P04578885AC, CELL [1,5]
13:52:03:30 | I | Matching ok | SEQ : 20174836480, PART : 52124713AD, SCAN P52124713AD, CELL [1,6]
13:52:10:28 | I | Matching ok | SEQ : 20174836590, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
13:52:13:80 | I | Matching ok | SEQ : 20174836580, PART : 52124713AD, SCAN P52124713AD, CELL [2,2]
13:52:16:75 | I | Matching ok | SEQ : 20174836570, PART : 52124713AD, SCAN P52124713AD, CELL [2,3]
13:52:19:95 | I | Matching ok | SEQ : 20174836560, PART : 04578885AC, SCAN P04578885AC, CELL [2,4]
13:52:21:95 | I | Matching ok | SEQ : 20174836550, PART : N/A, SCAN N/A, CELL [2,5]
13:52:30:37 | I | Matching ok | SEQ : 20174836540, PART : 52124713AD, SCAN P52124713AD, CELL [2,6]
14:02:04:16 | I | Matching ok | SEQ : 20174836650, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
14:02:09:24 | I | Matching ok | SEQ : 20174836640, PART : 04578885AC, SCAN P04578885AC, CELL [1,2]
14:02:12:48 | I | Matching ok | SEQ : 20174836630, PART : 52124713AD, SCAN P52124713AD, CELL [1,3]
14:02:14:49 | I | Matching ok | SEQ : 20174836620, PART : N/A, SCAN N/A, CELL [1,4]
14:02:24:66 | I | Matching ok | SEQ : 20174836610, PART : 52124713AD, SCAN P52124713AD, CELL [1,5]
14:02:29:54 | I | Matching ok | SEQ : 20174836600, PART : 52124713AD, SCAN P52124713AD, CELL [1,6]
14:02:32:59 | I | Matching ok | SEQ : 20174836710, PART : 52124713AD, SCAN P52124713AD, CELL [2,1]
14:02:35:69 | I | Matching ok | SEQ : 20174836700, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
14:02:37:71 | I | Matching ok | SEQ : 20174836690, PART : N/A, SCAN N/A, CELL [2,3]
14:02:39:72 | I | Matching ok | SEQ : 20174836680, PART : N/A, SCAN N/A, CELL [2,4]
14:02:45:91 | W | Mismatching | SEQ : 20174836670, PART : 52124713AD, SCAN P04578885AC, CELL [2,5]
14:03:18:26 | W | Mismatching | SEQ : 20174836670, PART : 52124713AD, SCAN TQ42057C0027, CELL [2,5]
14:03:29:31 | I | Matching ok | SEQ : 20174836670, PART : 52124713AD, SCAN P52124713AD, CELL [2,5]
14:03:32:26 | I | Matching ok | SEQ : 20174836660, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
14:21:50:14 | I | Matching ok | SEQ : 20174836770, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
14:21:54:67 | I | Matching ok | SEQ : 20174836760, PART : 04578885AC, SCAN P04578885AC, CELL [1,2]
14:21:57:72 | I | Matching ok | SEQ : 20174836750, PART : 52124713AD, SCAN P52124713AD, CELL [1,3]
14:21:59:73 | I | Matching ok | SEQ : 20174836740, PART : N/A, SCAN N/A, CELL [1,4]
14:22:02:39 | I | Matching ok | SEQ : 20174836730, PART : 04578885AC, SCAN P04578885AC, CELL [1,5]
14:22:06:19 | I | Matching ok | SEQ : 20174836720, PART : 52124713AD, SCAN P52124713AD, CELL [1,6]
14:22:09:94 | I | Matching ok | SEQ : 20174836830, PART : 52124713AD, SCAN P52124713AD, CELL [2,1]
14:22:13:82 | I | Matching ok | SEQ : 20174836820, PART : 52124713AD, SCAN P52124713AD, CELL [2,2]
14:22:16:87 | I | Matching ok | SEQ : 20174836810, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
14:22:19:49 | I | Matching ok | SEQ : 20174836800, PART : 52124713AD, SCAN P52124713AD, CELL [2,4]
14:22:22:34 | I | Matching ok | SEQ : 20174836790, PART : 52124713AD, SCAN P52124713AD, CELL [2,5]
14:22:24:36 | I | Matching ok | SEQ : 20174836780, PART : N/A, SCAN N/A, CELL [2,6]
14:30:24:48 | I | Matching ok | SEQ : 20174836890, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
14:30:29:13 | I | Matching ok | SEQ : 20174836880, PART : 04578885AC, SCAN P04578885AC, CELL [1,2]
14:30:31:93 | I | Matching ok | SEQ : 20174836870, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
14:30:34:61 | I | Matching ok | SEQ : 20174836860, PART : 52124713AD, SCAN P52124713AD, CELL [1,4]
14:30:37:31 | I | Matching ok | SEQ : 20174836850, PART : 52124713AD, SCAN P52124713AD, CELL [1,5]
14:30:39:35 | I | Matching ok | SEQ : 20174836840, PART : N/A, SCAN N/A, CELL [1,6]
14:30:41:83 | I | Matching ok | SEQ : 20174836950, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
14:30:45:48 | I | Matching ok | SEQ : 20174836940, PART : 52124713AD, SCAN P52124713AD, CELL [2,2]
14:30:49:61 | I | Matching ok | SEQ : 20174836930, PART : 52124713AD, SCAN P52124713AD, CELL [2,3]
14:30:51:63 | I | Matching ok | SEQ : 20174836920, PART : N/A, SCAN N/A, CELL [2,4]
14:30:53:66 | I | Matching ok | SEQ : 20174836910, PART : N/A, SCAN N/A, CELL [2,5]
14:30:55:68 | I | Matching ok | SEQ : 20174836900, PART : N/A, SCAN N/A, CELL [2,6]
14:39:10:99 | I | Matching ok | SEQ : 20174837010, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
14:39:15:12 | I | Matching ok | SEQ : 20174837000, PART : 52124713AD, SCAN P52124713AD, CELL [1,2]
14:39:20:82 | I | Matching ok | SEQ : 20174836990, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
14:39:22:84 | I | Matching ok | SEQ : 20174836980, PART : N/A, SCAN N/A, CELL [1,4]
14:39:24:86 | I | Matching ok | SEQ : 20174836970, PART : N/A, SCAN N/A, CELL [1,5]
14:39:33:59 | I | Matching ok | SEQ : 20174836960, PART : 52124713AD, SCAN P52124713AD, CELL [1,6]
14:39:37:32 | I | Matching ok | SEQ : 20174837070, PART : 52124713AD, SCAN P52124713AD, CELL [2,1]
14:39:39:33 | I | Matching ok | SEQ : 20174837060, PART : N/A, SCAN N/A, CELL [2,2]
14:39:41:47 | I | Matching ok | SEQ : 20174837050, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
14:39:44:92 | I | Matching ok | SEQ : 20174837040, PART : 52124713AD, SCAN P52124713AD, CELL [2,4]
14:39:47:74 | I | Matching ok | SEQ : 20174837030, PART : 52124713AD, SCAN P52124713AD, CELL [2,5]
14:39:50:52 | I | Matching ok | SEQ : 20174837020, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
14:47:03:90 | I | Matching ok | SEQ : 20174837130, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
14:47:05:93 | I | Matching ok | SEQ : 20174837120, PART : N/A, SCAN N/A, CELL [1,2]
14:47:10:96 | I | Matching ok | SEQ : 20174837110, PART : 52124713AD, SCAN P52124713AD, CELL [1,3]
14:47:13:00 | I | Matching ok | SEQ : 20174837100, PART : N/A, SCAN N/A, CELL [1,4]
14:47:16:06 | I | Matching ok | SEQ : 20174837090, PART : 04578885AC, SCAN P04578885AC, CELL [1,5]
14:47:20:06 | I | Matching ok | SEQ : 20174837080, PART : 52124713AD, SCAN P52124713AD, CELL [1,6]
14:47:23:58 | I | Matching ok | SEQ : 20174837190, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
14:47:26:76 | I | Matching ok | SEQ : 20174837180, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
14:47:28:77 | I | Matching ok | SEQ : 20174837170, PART : N/A, SCAN N/A, CELL [2,3]
14:47:30:78 | I | Matching ok | SEQ : 20174837160, PART : N/A, SCAN N/A, CELL [2,4]
14:47:34:46 | I | Matching ok | SEQ : 20174837150, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
14:47:36:46 | I | Matching ok | SEQ : 20174837140, PART : N/A, SCAN N/A, CELL [2,6]
14:57:05:82 | I | Matching ok | SEQ : 20174837250, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
14:57:07:86 | I | Matching ok | SEQ : 20174837240, PART : N/A, SCAN N/A, CELL [1,2]
14:57:11:22 | I | Matching ok | SEQ : 20174837230, PART : 52124713AD, SCAN P52124713AD, CELL [1,3]
14:57:15:49 | I | Matching ok | SEQ : 20174837220, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
14:57:19:13 | I | Matching ok | SEQ : 20174837210, PART : 52124713AD, SCAN P52124713AD, CELL [1,5]
14:57:23:15 | I | Matching ok | SEQ : 20174837200, PART : 52124713AD, SCAN P52124713AD, CELL [1,6]
14:57:27:25 | I | Matching ok | SEQ : 20174837310, PART : 52124713AD, SCAN P52124713AD, CELL [2,1]
14:57:30:42 | I | Matching ok | SEQ : 20174837300, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
14:57:34:07 | I | Matching ok | SEQ : 20174837290, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
14:57:38:04 | I | Matching ok | SEQ : 20174837280, PART : 04578885AC, SCAN P04578885AC, CELL [2,4]
14:57:40:06 | I | Matching ok | SEQ : 20174837270, PART : N/A, SCAN N/A, CELL [2,5]
14:57:44:82 | I | Matching ok | SEQ : 20174837260, PART : 52124713AD, SCAN P52124713AD, CELL [2,6]
14:57:46:92 | I | Matching ok | SEQ : 20174837370, PART : N/A, SCAN N/A, CELL [1,1]
15:10:40:34 | I | Matching ok | SEQ : 20174837360, PART : 52124713AD, SCAN P52124713AD, CELL [1,2]
15:10:44:04 | I | Matching ok | SEQ : 20174837350, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
15:10:48:44 | I | Matching ok | SEQ : 20174837340, PART : 52124713AD, SCAN P52124713AD, CELL [1,4]
15:10:56:69 | I | Matching ok | SEQ : 20174837330, PART : 52124713AD, SCAN P52124713AD, CELL [1,5]
15:11:01:74 | W | Mismatching | SEQ : 20174837320, PART : 04578885AC, SCAN P52124713AD, CELL [1,6]
15:11:38:29 | I | Matching ok | SEQ : 20174837320, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
15:11:42:17 | I | Matching ok | SEQ : 20174837430, PART : 52124713AD, SCAN P52124713AD, CELL [2,1]
15:11:45:44 | I | Matching ok | SEQ : 20174837420, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
15:11:48:89 | I | Matching ok | SEQ : 20174837410, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
15:11:53:22 | I | Matching ok | SEQ : 20174837400, PART : 52124713AD, SCAN P52124713AD, CELL [2,4]
15:11:57:52 | I | Matching ok | SEQ : 20174837390, PART : 52124713AD, SCAN P52124713AD, CELL [2,5]
15:11:59:53 | I | Matching ok | SEQ : 20174837380, PART : N/A, SCAN N/A, CELL [2,6]
15:24:20:13 | I | Matching ok | SEQ : 20174837490, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
15:24:25:26 | I | Matching ok | SEQ : 20174837480, PART : 04578885AC, SCAN P04578885AC, CELL [1,2]
15:24:29:31 | I | Matching ok | SEQ : 20174837470, PART : 52124713AD, SCAN P52124713AD, CELL [1,3]
15:24:33:69 | I | Matching ok | SEQ : 20174837460, PART : 52124713AD, SCAN P52124713AD, CELL [1,4]
15:24:38:18 | I | Matching ok | SEQ : 20174837450, PART : 04578885AC, SCAN P04578885AC, CELL [1,5]
15:24:42:33 | I | Matching ok | SEQ : 20174837440, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
15:24:48:89 | I | Matching ok | SEQ : 20174837550, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
15:24:58:91 | I | Matching ok | SEQ : 20174837540, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
15:25:12:48 | I | Matching ok | SEQ : 20174837530, PART : 52124713AD, SCAN P52124713AD, CELL [2,3]
15:25:18:77 | I | Matching ok | SEQ : 20174837520, PART : 52124713AD, SCAN P52124713AD, CELL [2,4]
15:25:22:86 | I | Matching ok | SEQ : 20174837510, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
15:25:26:84 | I | Matching ok | SEQ : 20174837500, PART : 52124713AD, SCAN P52124713AD, CELL [2,6]
15:33:17:05 | I | Matching ok | SEQ : 20174837610, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
15:33:20:95 | I | Matching ok | SEQ : 20174837600, PART : 52124713AD, SCAN P52124713AD, CELL [1,2]
15:33:22:95 | I | Matching ok | SEQ : 20174837590, PART : N/A, SCAN N/A, CELL [1,3]
15:33:27:20 | I | Matching ok | SEQ : 20174837580, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
15:33:31:47 | I | Matching ok | SEQ : 20174837570, PART : 52124713AD, SCAN P52124713AD, CELL [1,5]
15:33:36:43 | I | Matching ok | SEQ : 20174837560, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
15:33:40:50 | I | Matching ok | SEQ : 20174837670, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
15:33:44:90 | I | Matching ok | SEQ : 20174837660, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
