00:06:46:20 | W | Mismatching | SEQ : 20174670210, PART : 04578885AC, SCAN TQ41847C1466, CELL [1,1]
09:31:33:87 | I | Matching ok | SEQ : 20174674950, PART : 68193661AB, SCAN P68193661AB, CELL [2,1]
09:31:36:87 | I | Matching ok | SEQ : 20174674940, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
09:31:40:22 | I | Matching ok | SEQ : 20174674930, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
09:31:44:99 | I | Matching ok | SEQ : 20174674920, PART : 04578885AC, SCAN P04578885AC, CELL [2,4]
09:31:48:09 | I | Matching ok | SEQ : 20174674910, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
09:31:50:77 | I | Matching ok | SEQ : 20174674900, PART : 68193661AB, SCAN P68193661AB, CELL [2,6]
09:42:04:11 | I | Matching ok | SEQ : 20174675010, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
09:42:06:86 | I | Matching ok | SEQ : 20174675000, PART : 68193661AB, SCAN P68193661AB, CELL [1,2]
09:42:09:96 | I | Matching ok | SEQ : 20174674990, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
09:42:13:11 | I | Matching ok | SEQ : 20174674980, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
09:42:15:61 | I | Matching ok | SEQ : 20174674970, PART : 04578885AC, SCAN P04578885AC, CELL [1,5]
09:42:17:62 | I | Matching ok | SEQ : 20174674960, PART : N/A, SCAN N/A, CELL [1,6]
09:42:23:86 | I | Matching ok | SEQ : 20174675070, PART : 52124713AD, SCAN P52124713AD, CELL [2,1]
09:42:26:81 | I | Matching ok | SEQ : 20174675060, PART : 52124713AD, SCAN P52124713AD, CELL [2,2]
09:42:29:83 | I | Matching ok | SEQ : 20174675050, PART : 68193661AB, SCAN P68193661AB, CELL [2,3]
09:42:33:31 | I | Matching ok | SEQ : 20174675040, PART : 04578885AC, SCAN P04578885AC, CELL [2,4]
09:42:36:28 | I | Matching ok | SEQ : 20174675030, PART : 52124713AD, SCAN P52124713AD, CELL [2,5]
09:42:41:31 | I | Matching ok | SEQ : 20174675020, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
09:55:52:13 | I | Matching ok | SEQ : 20174675130, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
09:55:54:48 | I | Matching ok | SEQ : 20174675120, PART : 04578885AC, SCAN P04578885AC, CELL [1,2]
09:55:57:35 | I | Matching ok | SEQ : 20174675110, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
09:55:59:38 | I | Matching ok | SEQ : 20174675100, PART : N/A, SCAN N/A, CELL [1,4]
09:56:07:10 | I | Matching ok | SEQ : 20174675090, PART : 52124713AD, SCAN P52124713AD, CELL [1,5]
09:56:10:56 | I | Matching ok | SEQ : 20174675080, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
09:56:12:57 | I | Matching ok | SEQ : 20174675190, PART : N/A, SCAN N/A, CELL [2,1]
09:56:15:05 | I | Matching ok | SEQ : 20174675180, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
09:56:17:88 | I | Matching ok | SEQ : 20174675170, PART : 68193661AB, SCAN P68193661AB, CELL [2,3]
09:56:19:90 | I | Matching ok | SEQ : 20174675160, PART : N/A, SCAN N/A, CELL [2,4]
09:56:23:65 | I | Matching ok | SEQ : 20174675150, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
09:56:27:03 | I | Matching ok | SEQ : 20174675140, PART : 52124713AD, SCAN P52124713AD, CELL [2,6]
09:56:29:16 | I | Matching ok | SEQ : 20174675250, PART : N/A, SCAN N/A, CELL [1,1]
10:04:30:89 | I | Matching ok | SEQ : 20174675240, PART : 04578885AC, SCAN P04578885AC, CELL [1,2]
10:04:33:71 | I | Matching ok | SEQ : 20174675230, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
10:04:36:14 | I | Matching ok | SEQ : 20174675220, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
10:04:38:89 | I | Matching ok | SEQ : 20174675210, PART : 52124713AD, SCAN P52124713AD, CELL [1,5]
10:04:40:92 | I | Matching ok | SEQ : 20174675200, PART : N/A, SCAN N/A, CELL [1,6]
10:04:43:24 | I | Matching ok | SEQ : 20174675310, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
10:04:45:26 | I | Matching ok | SEQ : 20174675300, PART : N/A, SCAN N/A, CELL [2,2]
10:04:47:27 | I | Matching ok | SEQ : 20174675290, PART : N/A, SCAN N/A, CELL [2,3]
10:04:50:31 | I | Matching ok | SEQ : 20174675280, PART : 52124713AD, SCAN P52124713AD, CELL [2,4]
10:04:53:59 | I | Matching ok | SEQ : 20174675270, PART : 52124713AD, SCAN P52124713AD, CELL [2,5]
10:04:55:61 | I | Matching ok | SEQ : 20174675260, PART : N/A, SCAN N/A, CELL [2,6]
10:20:26:31 | I | Matching ok | SEQ : 20174675370, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
10:20:29:54 | I | Matching ok | SEQ : 20174675360, PART : 04578885AC, SCAN P04578885AC, CELL [1,2]
10:20:31:56 | I | Matching ok | SEQ : 20174675350, PART : N/A, SCAN N/A, CELL [1,3]
10:20:33:57 | I | Matching ok | SEQ : 20174675340, PART : N/A, SCAN N/A, CELL [1,4]
10:20:35:58 | I | Matching ok | SEQ : 20174675330, PART : N/A, SCAN N/A, CELL [1,5]
10:20:38:19 | I | Matching ok | SEQ : 20174675320, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
10:20:41:60 | I | Matching ok | SEQ : 20174675430, PART : 52124713AD, SCAN P52124713AD, CELL [2,1]
10:20:56:56 | I | Matching ok | SEQ : 20174675420, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
10:21:00:19 | I | Matching ok | SEQ : 20174675410, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
10:21:03:09 | I | Matching ok | SEQ : 20174675400, PART : 04578885AC, SCAN P04578885AC, CELL [2,4]
10:21:05:11 | I | Matching ok | SEQ : 20174675390, PART : N/A, SCAN N/A, CELL [2,5]
10:21:07:26 | I | Matching ok | SEQ : 20174675380, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
10:27:03:05 | I | Matching ok | SEQ : 20174675490, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
10:27:05:30 | I | Matching ok | SEQ : 20174675480, PART : 04578885AC, SCAN P04578885AC, CELL [1,2]
10:27:08:17 | I | Matching ok | SEQ : 20174675470, PART : 68193661AB, SCAN P68193661AB, CELL [1,3]
10:27:11:35 | I | Matching ok | SEQ : 20174675460, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
10:27:13:37 | I | Matching ok | SEQ : 20174675450, PART : N/A, SCAN N/A, CELL [1,5]
10:27:15:72 | I | Matching ok | SEQ : 20174675440, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
10:27:18:72 | I | Matching ok | SEQ : 20174675550, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
10:27:20:73 | I | Matching ok | SEQ : 20174675540, PART : N/A, SCAN N/A, CELL [2,2]
10:27:23:67 | I | Matching ok | SEQ : 20174675530, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
10:27:29:02 | I | Matching ok | SEQ : 20174675520, PART : 04578885AC, SCAN P04578885AC, CELL [2,4]
10:27:33:40 | I | Matching ok | SEQ : 20174675510, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
10:27:36:60 | I | Matching ok | SEQ : 20174675500, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
10:35:25:49 | W | Mismatching | SEQ : 20174675610, PART : 04578885AC, SCAN TQ41787C1371, CELL [1,1]
10:35:37:07 | I | Matching ok | SEQ : 20174675610, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
10:35:39:02 | I | Matching ok | SEQ : 20174675600, PART : 04578885AC, SCAN P04578885AC, CELL [1,2]
10:35:40:52 | I | Matching ok | SEQ : 20174675590, PART : 68193661AB, SCAN P68193661AB, CELL [1,3]
10:35:42:53 | I | Matching ok | SEQ : 20174675580, PART : N/A, SCAN N/A, CELL [1,4]
10:35:43:44 | I | Matching ok | SEQ : 20174675570, PART : 04578885AC, SCAN P04578885AC, CELL [1,5]
10:35:44:82 | I | Matching ok | SEQ : 20174675560, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
10:35:46:83 | I | Matching ok | SEQ : 20174675670, PART : N/A, SCAN N/A, CELL [2,1]
10:35:48:04 | I | Matching ok | SEQ : 20174675660, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
10:35:50:06 | I | Matching ok | SEQ : 20174675650, PART : N/A, SCAN N/A, CELL [2,3]
10:35:51:46 | I | Matching ok | SEQ : 20174675640, PART : 04578885AC, SCAN P04578885AC, CELL [2,4]
10:35:53:48 | I | Matching ok | SEQ : 20174675630, PART : N/A, SCAN N/A, CELL [2,5]
10:35:54:54 | I | Matching ok | SEQ : 20174675620, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
10:51:11:54 | I | Matching ok | SEQ : 20174675730, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
10:51:13:69 | I | Matching ok | SEQ : 20174675720, PART : 52124713AD, SCAN P52124713AD, CELL [1,2]
10:51:16:54 | I | Matching ok | SEQ : 20174675710, PART : 68193661AB, SCAN P68193661AB, CELL [1,3]
10:51:18:97 | I | Matching ok | SEQ : 20174675700, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
10:51:21:54 | I | Matching ok | SEQ : 20174675690, PART : 04578885AC, SCAN P04578885AC, CELL [1,5]
10:51:24:64 | I | Matching ok | SEQ : 20174675680, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
10:51:28:29 | I | Matching ok | SEQ : 20174675790, PART : 52124713AD, SCAN P52124713AD, CELL [2,1]
10:51:31:29 | I | Matching ok | SEQ : 20174675780, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
10:51:34:44 | I | Matching ok | SEQ : 20174675770, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
10:51:36:89 | I | Matching ok | SEQ : 20174675760, PART : 68193661AB, SCAN P68193661AB, CELL [2,4]
10:51:39:21 | W | Mismatching | SEQ : 20174675750, PART : 04578885AC, SCAN TQ41877H0347, CELL [2,5]
10:51:43:29 | I | Matching ok | SEQ : 20174675750, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
10:51:44:64 | I | Matching ok | SEQ : 20174675740, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
10:59:00:75 | I | Matching ok | SEQ : 20174675850, PART : 68193661AB, SCAN P68193661AB, CELL [1,1]
10:59:02:79 | I | Matching ok | SEQ : 20174675840, PART : N/A, SCAN N/A, CELL [1,2]
10:59:04:80 | I | Matching ok | SEQ : 20174675830, PART : N/A, SCAN N/A, CELL [1,3]
10:59:06:95 | I | Matching ok | SEQ : 20174675820, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
10:59:08:33 | I | Matching ok | SEQ : 20174675810, PART : 04578885AC, SCAN P04578885AC, CELL [1,5]
10:59:09:48 | I | Matching ok | SEQ : 20174675800, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
10:59:11:00 | I | Matching ok | SEQ : 20174675910, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
10:59:12:30 | I | Matching ok | SEQ : 20174675900, PART : 68193661AB, SCAN P68193661AB, CELL [2,2]
10:59:13:36 | I | Matching ok | SEQ : 20174675890, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
10:59:14:93 | I | Matching ok | SEQ : 20174675880, PART : 52124713AD, SCAN P52124713AD, CELL [2,4]
10:59:15:91 | I | Matching ok | SEQ : 20174675870, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
10:59:17:03 | I | Matching ok | SEQ : 20174675860, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
11:39:18:71 | I | Matching ok | SEQ : 20174675970, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
11:39:20:93 | I | Matching ok | SEQ : 20174675960, PART : 52124713AD, SCAN P52124713AD, CELL [1,2]
11:39:22:66 | I | Matching ok | SEQ : 20174675950, PART : 68193661AB, SCAN P68193661AB, CELL [1,3]
11:39:24:51 | I | Matching ok | SEQ : 20174675940, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
11:39:26:56 | I | Matching ok | SEQ : 20174675930, PART : N/A, SCAN N/A, CELL [1,5]
11:39:28:59 | I | Matching ok | SEQ : 20174675920, PART : N/A, SCAN N/A, CELL [1,6]
11:39:30:38 | I | Matching ok | SEQ : 20174676030, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
11:39:31:98 | I | Matching ok | SEQ : 20174676020, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
11:39:33:68 | I | Matching ok | SEQ : 20174676010, PART : 68193661AB, SCAN P68193661AB, CELL [2,3]
11:39:35:18 | I | Matching ok | SEQ : 20174676000, PART : 04578885AC, SCAN P04578885AC, CELL [2,4]
11:39:36:63 | I | Matching ok | SEQ : 20174675990, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
11:39:37:96 | I | Matching ok | SEQ : 20174675980, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
11:39:40:23 | I | Matching ok | SEQ : 20174676090, PART : N/A, SCAN N/A, CELL [1,1]
11:48:20:37 | I | Matching ok | SEQ : 20174676080, PART : 04578885AC, SCAN P04578885AC, CELL [1,2]
11:48:23:52 | I | Matching ok | SEQ : 20174676070, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
11:48:26:49 | I | Matching ok | SEQ : 20174676060, PART : 52124713AD, SCAN P52124713AD, CELL [1,4]
11:48:29:77 | I | Matching ok | SEQ : 20174676050, PART : 52124713AD, SCAN P52124713AD, CELL [1,5]
11:48:32:45 | I | Matching ok | SEQ : 20174676040, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
11:48:34:48 | I | Matching ok | SEQ : 20174676150, PART : N/A, SCAN N/A, CELL [2,1]
11:48:36:77 | I | Matching ok | SEQ : 20174676140, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
11:48:40:07 | I | Matching ok | SEQ : 20174676130, PART : 68193661AB, SCAN P68193661AB, CELL [2,3]
11:48:44:30 | I | Matching ok | SEQ : 20174676120, PART : 04578885AC, SCAN P04578885AC, CELL [2,4]
11:48:47:89 | I | Matching ok | SEQ : 20174676110, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
11:48:50:10 | I | Matching ok | SEQ : 20174676100, PART : 52124713AD, SCAN P52124713AD, CELL [2,6]
11:48:52:28 | I | Matching ok | SEQ : 20174676210, PART : N/A, SCAN N/A, CELL [1,1]
11:48:54:33 | I | Matching ok | SEQ : 20174676200, PART : N/A, SCAN N/A, CELL [1,2]
12:00:07:71 | I | Matching ok | SEQ : 20174676190, PART : 52124713AD, SCAN P52124713AD, CELL [1,3]
12:00:10:16 | I | Matching ok | SEQ : 20174676180, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
12:00:12:84 | I | Matching ok | SEQ : 20174676170, PART : 04578885AC, SCAN P04578885AC, CELL [1,5]
12:00:15:26 | I | Matching ok | SEQ : 20174676160, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
12:00:17:99 | I | Matching ok | SEQ : 20174676270, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
12:00:20:36 | I | Matching ok | SEQ : 20174676260, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
12:00:22:46 | I | Matching ok | SEQ : 20174676250, PART : 52124713AD, SCAN P52124713AD, CELL [2,3]
12:00:24:61 | I | Matching ok | SEQ : 20174676240, PART : 04578885AC, SCAN P04578885AC, CELL [2,4]
12:00:26:96 | I | Matching ok | SEQ : 20174676230, PART : 68193661AB, SCAN P68193661AB, CELL [2,5]
12:00:29:34 | I | Matching ok | SEQ : 20174676220, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
12:11:12:58 | I | Matching ok | SEQ : 20174676330, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
12:11:14:69 | I | Matching ok | SEQ : 20174676320, PART : N/A, SCAN N/A, CELL [1,2]
12:11:16:50 | I | Matching ok | SEQ : 20174676310, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
12:11:18:33 | I | Matching ok | SEQ : 20174676300, PART : 68193661AB, SCAN P68193661AB, CELL [1,4]
12:11:20:38 | I | Matching ok | SEQ : 20174676290, PART : N/A, SCAN N/A, CELL [1,5]
12:11:22:44 | I | Matching ok | SEQ : 20174676280, PART : N/A, SCAN N/A, CELL [1,6]
12:11:50:86 | I | Matching ok | SEQ : 20174676390, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
12:11:53:03 | I | Matching ok | SEQ : 20174676380, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
12:11:56:36 | I | Matching ok | SEQ : 20174676370, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
12:11:58:51 | I | Matching ok | SEQ : 20174676360, PART : 68193661AB, SCAN P68193661AB, CELL [2,4]
12:12:00:26 | I | Matching ok | SEQ : 20174676350, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
12:12:02:02 | I | Matching ok | SEQ : 20174676340, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
12:23:07:24 | I | Matching ok | SEQ : 20174676450, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
12:23:09:26 | I | Matching ok | SEQ : 20174676440, PART : N/A, SCAN N/A, CELL [1,2]
12:23:11:92 | I | Matching ok | SEQ : 20174676430, PART : 68193661AB, SCAN P68193661AB, CELL [1,3]
12:23:14:59 | I | Matching ok | SEQ : 20174676420, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
12:23:16:61 | I | Matching ok | SEQ : 20174676410, PART : N/A, SCAN N/A, CELL [1,5]
12:23:19:57 | I | Matching ok | SEQ : 20174676400, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
12:23:22:24 | I | Matching ok | SEQ : 20174676510, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
12:23:24:97 | I | Matching ok | SEQ : 20174676500, PART : 52124713AD, SCAN P52124713AD, CELL [2,2]
12:23:26:99 | I | Matching ok | SEQ : 20174676490, PART : N/A, SCAN N/A, CELL [2,3]
12:23:29:15 | I | Matching ok | SEQ : 20174676480, PART : 04578885AC, SCAN P04578885AC, CELL [2,4]
12:23:31:97 | I | Matching ok | SEQ : 20174676470, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
12:23:34:39 | I | Matching ok | SEQ : 20174676460, PART : 52124713AD, SCAN P52124713AD, CELL [2,6]
12:33:36:51 | I | Matching ok | SEQ : 20174676570, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
12:33:39:18 | I | Matching ok | SEQ : 20174676560, PART : 04578885AC, SCAN P04578885AC, CELL [1,2]
12:33:41:21 | I | Matching ok | SEQ : 20174676550, PART : N/A, SCAN N/A, CELL [1,3]
12:33:43:61 | I | Matching ok | SEQ : 20174676540, PART : 68193661AB, SCAN P68193661AB, CELL [1,4]
12:33:45:91 | I | Matching ok | SEQ : 20174676530, PART : 52124713AD, SCAN P52124713AD, CELL [1,5]
12:33:48:34 | I | Matching ok | SEQ : 20174676520, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
12:33:50:35 | I | Matching ok | SEQ : 20174676630, PART : N/A, SCAN N/A, CELL [2,1]
12:33:54:14 | I | Matching ok | SEQ : 20174676620, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
12:33:56:56 | W | Mismatching | SEQ : 20174676610, PART : 04578885AC, SCAN P52124713AD, CELL [2,3]
12:34:06:43 | I | Matching ok | SEQ : 20174676610, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
12:34:09:52 | I | Matching ok | SEQ : 20174676600, PART : 52124713AD, SCAN P52124713AD, CELL [2,4]
12:34:11:54 | I | Matching ok | SEQ : 20174676590, PART : N/A, SCAN N/A, CELL [2,5]
12:34:17:46 | I | Matching ok | SEQ : 20174676580, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
12:45:15:53 | I | Matching ok | SEQ : 20174676690, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
12:45:18:08 | I | Matching ok | SEQ : 20174676680, PART : 04578885AC, SCAN P04578885AC, CELL [1,2]
12:45:20:30 | I | Matching ok | SEQ : 20174676670, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
12:45:22:40 | I | Matching ok | SEQ : 20174676660, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
12:45:24:33 | I | Matching ok | SEQ : 20174676650, PART : 68193661AB, SCAN P68193661AB, CELL [1,5]
12:45:26:18 | I | Matching ok | SEQ : 20174676640, PART : 52124713AD, SCAN P52124713AD, CELL [1,6]
12:45:28:15 | I | Matching ok | SEQ : 20174676750, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
12:45:29:88 | I | Matching ok | SEQ : 20174676740, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
12:45:31:55 | I | Matching ok | SEQ : 20174676730, PART : 52124713AD, SCAN P52124713AD, CELL [2,3]
12:45:33:18 | I | Matching ok | SEQ : 20174676720, PART : 04578885AC, SCAN P04578885AC, CELL [2,4]
12:45:34:98 | I | Matching ok | SEQ : 20174676710, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
12:45:37:20 | I | Matching ok | SEQ : 20174676700, PART : 68193661AB, SCAN P68193661AB, CELL [2,6]
12:45:39:33 | I | Matching ok | SEQ : 20174676810, PART : N/A, SCAN N/A, CELL [1,1]
12:56:04:34 | I | Matching ok | SEQ : 20174676800, PART : 68193661AB, SCAN P68193661AB, CELL [1,2]
12:56:06:38 | I | Matching ok | SEQ : 20174676790, PART : N/A, SCAN N/A, CELL [1,3]
12:56:08:84 | I | Matching ok | SEQ : 20174676780, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
12:56:10:42 | I | Matching ok | SEQ : 20174676770, PART : 04578885AC, SCAN P04578885AC, CELL [1,5]
12:56:11:62 | I | Matching ok | SEQ : 20174676760, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
12:56:12:82 | I | Matching ok | SEQ : 20174676870, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
12:56:14:30 | I | Matching ok | SEQ : 20174676860, PART : 68193661AB, SCAN P68193661AB, CELL [2,2]
12:56:15:79 | I | Matching ok | SEQ : 20174676850, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
12:56:18:34 | I | Matching ok | SEQ : 20174676840, PART : 04578885AC, SCAN P04578885AC, CELL [2,4]
12:56:19:52 | I | Matching ok | SEQ : 20174676830, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
12:56:21:52 | I | Matching ok | SEQ : 20174676820, PART : 52124713AD, SCAN P52124713AD, CELL [2,6]
13:23:15:98 | I | Matching ok | SEQ : 20174676930, PART : 68193661AB, SCAN P68193661AB, CELL [1,1]
13:23:18:01 | I | Matching ok | SEQ : 20174676920, PART : N/A, SCAN N/A, CELL [1,2]
13:23:21:33 | I | Matching ok | SEQ : 20174676910, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
13:23:23:53 | I | Matching ok | SEQ : 20174676900, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
13:23:25:36 | I | Matching ok | SEQ : 20174676890, PART : 52124713AD, SCAN P52124713AD, CELL [1,5]
13:23:26:66 | I | Matching ok | SEQ : 20174676880, PART : 52124713AD, SCAN P52124713AD, CELL [1,6]
13:23:27:91 | I | Matching ok | SEQ : 20174676990, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
13:23:29:18 | I | Matching ok | SEQ : 20174676980, PART : 52124713AD, SCAN P52124713AD, CELL [2,2]
13:23:30:43 | I | Matching ok | SEQ : 20174676970, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
13:23:31:91 | I | Matching ok | SEQ : 20174676960, PART : 04578885AC, SCAN P04578885AC, CELL [2,4]
13:23:33:92 | I | Matching ok | SEQ : 20174676950, PART : N/A, SCAN N/A, CELL [2,5]
13:23:35:38 | I | Matching ok | SEQ : 20174676940, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
13:30:47:99 | I | Matching ok | SEQ : 20174677050, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
13:30:50:94 | I | Matching ok | SEQ : 20174677040, PART : 52124713AD, SCAN P52124713AD, CELL [1,2]
13:30:53:19 | I | Matching ok | SEQ : 20174677030, PART : 68193661AB, SCAN P68193661AB, CELL [1,3]
13:30:55:69 | I | Matching ok | SEQ : 20174677020, PART : 52124713AD, SCAN P52124713AD, CELL [1,4]
13:30:58:07 | I | Matching ok | SEQ : 20174677010, PART : 04578885AC, SCAN P04578885AC, CELL [1,5]
13:31:00:12 | I | Matching ok | SEQ : 20174677000, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
13:31:02:39 | I | Matching ok | SEQ : 20174677110, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
13:31:06:02 | I | Matching ok | SEQ : 20174677100, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
13:31:08:32 | I | Matching ok | SEQ : 20174677090, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
13:31:10:57 | I | Matching ok | SEQ : 20174677080, PART : 68193661AB, SCAN P68193661AB, CELL [2,4]
13:31:13:72 | I | Matching ok | SEQ : 20174677070, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
13:31:16:48 | I | Matching ok | SEQ : 20174677060, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
13:44:06:59 | I | Matching ok | SEQ : 20174677170, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
13:44:08:60 | I | Matching ok | SEQ : 20174677160, PART : N/A, SCAN N/A, CELL [1,2]
13:44:11:39 | I | Matching ok | SEQ : 20174677150, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
13:44:13:79 | I | Matching ok | SEQ : 20174677140, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
13:44:16:22 | I | Matching ok | SEQ : 20174677130, PART : 68193661AB, SCAN P68193661AB, CELL [1,5]
13:44:18:61 | I | Matching ok | SEQ : 20174677120, PART : 52124713AD, SCAN P52124713AD, CELL [1,6]
13:44:21:09 | I | Matching ok | SEQ : 20174677230, PART : 52124713AD, SCAN P52124713AD, CELL [2,1]
13:44:23:59 | I | Matching ok | SEQ : 20174677220, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
13:44:26:24 | I | Matching ok | SEQ : 20174677210, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
13:44:28:46 | I | Matching ok | SEQ : 20174677200, PART : 04578885AC, SCAN P04578885AC, CELL [2,4]
13:44:30:74 | I | Matching ok | SEQ : 20174677190, PART : 68193661AB, SCAN P68193661AB, CELL [2,5]
13:44:35:16 | I | Matching ok | SEQ : 20174677180, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
13:57:26:88 | I | Matching ok | SEQ : 20174677290, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
13:57:29:36 | I | Matching ok | SEQ : 20174677280, PART : 04578885AC, SCAN P04578885AC, CELL [1,2]
13:57:31:76 | I | Matching ok | SEQ : 20174677270, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
13:57:34:18 | I | Matching ok | SEQ : 20174677260, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
13:57:36:71 | I | Matching ok | SEQ : 20174677250, PART : 68193661AB, SCAN P68193661AB, CELL [1,5]
13:57:39:31 | I | Matching ok | SEQ : 20174677240, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
13:57:42:03 | I | Matching ok | SEQ : 20174677350, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
