00:11:36:65 | I | Matching ok | SEQ : 20174710530, PART : 68193661AB, SCAN P68193661AB, CELL [1,1]
09:12:01:36 | I | Matching ok | SEQ : 20174715230, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
09:12:03:36 | I | Matching ok | SEQ : 20174715220, PART : N/A, SCAN N/A, CELL [2,6]
09:22:04:07 | I | Matching ok | SEQ : 20174715330, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
09:22:07:02 | I | Matching ok | SEQ : 20174715320, PART : 04578885AC, SCAN P04578885AC, CELL [1,2]
09:22:09:04 | I | Matching ok | SEQ : 20174715310, PART : N/A, SCAN N/A, CELL [1,3]
09:22:15:05 | I | Matching ok | SEQ : 20174715300, PART : 52124713AD, SCAN P52124713AD, CELL [1,4]
09:22:18:92 | I | Matching ok | SEQ : 20174715290, PART : 04578885AC, SCAN P04578885AC, CELL [1,5]
09:22:22:97 | I | Matching ok | SEQ : 20174715280, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
09:22:26:75 | I | Matching ok | SEQ : 20174715390, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
09:22:31:70 | I | Matching ok | SEQ : 20174715380, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
09:22:36:15 | I | Matching ok | SEQ : 20174715370, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
09:22:40:40 | I | Matching ok | SEQ : 20174715360, PART : 52124713AD, SCAN P52124713AD, CELL [2,4]
09:22:43:97 | I | Matching ok | SEQ : 20174715350, PART : 52124713AD, SCAN P52124713AD, CELL [2,5]
09:22:47:95 | I | Matching ok | SEQ : 20174715340, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
09:35:54:59 | I | Matching ok | SEQ : 20174715450, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
09:35:57:94 | I | Matching ok | SEQ : 20174715440, PART : 04578885AC, SCAN P04578885AC, CELL [1,2]
09:35:59:96 | I | Matching ok | SEQ : 20174715430, PART : N/A, SCAN N/A, CELL [1,3]
09:36:02:57 | I | Matching ok | SEQ : 20174715420, PART : 52124713AD, SCAN P52124713AD, CELL [1,4]
09:36:06:19 | I | Matching ok | SEQ : 20174715410, PART : 04578885AC, SCAN P04578885AC, CELL [1,5]
09:36:09:79 | I | Matching ok | SEQ : 20174715400, PART : 52124713AD, SCAN P52124713AD, CELL [1,6]
09:36:11:82 | I | Matching ok | SEQ : 20174715510, PART : N/A, SCAN N/A, CELL [2,1]
09:36:15:12 | I | Matching ok | SEQ : 20174715500, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
09:36:18:64 | I | Matching ok | SEQ : 20174715490, PART : 52124713AD, SCAN P52124713AD, CELL [2,3]
09:36:21:74 | I | Matching ok | SEQ : 20174715480, PART : 04578885AC, SCAN P04578885AC, CELL [2,4]
09:36:24:82 | I | Matching ok | SEQ : 20174715470, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
09:36:27:64 | I | Matching ok | SEQ : 20174715460, PART : 52124713AD, SCAN P52124713AD, CELL [2,6]
09:51:05:14 | I | Matching ok | SEQ : 20174715570, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
09:51:08:54 | I | Matching ok | SEQ : 20174715560, PART : 52124713AD, SCAN P52124713AD, CELL [1,2]
09:51:10:55 | I | Matching ok | SEQ : 20174715550, PART : N/A, SCAN N/A, CELL [1,3]
09:51:12:57 | I | Matching ok | SEQ : 20174715540, PART : N/A, SCAN N/A, CELL [1,4]
09:51:14:79 | I | Matching ok | SEQ : 20174715530, PART : 04578885AC, SCAN P04578885AC, CELL [1,5]
09:51:18:01 | I | Matching ok | SEQ : 20174715520, PART : 52124713AD, SCAN P52124713AD, CELL [1,6]
09:51:21:84 | I | Matching ok | SEQ : 20174715630, PART : 52124713AD, SCAN P52124713AD, CELL [2,1]
09:51:23:86 | I | Matching ok | SEQ : 20174715620, PART : N/A, SCAN N/A, CELL [2,2]
09:51:25:87 | I | Matching ok | SEQ : 20174715610, PART : N/A, SCAN N/A, CELL [2,3]
09:51:29:91 | I | Matching ok | SEQ : 20174715600, PART : 04578885AC, SCAN P04578885AC, CELL [2,4]
09:51:33:76 | I | Matching ok | SEQ : 20174715590, PART : 52124713AD, SCAN P52124713AD, CELL [2,5]
09:51:37:34 | I | Matching ok | SEQ : 20174715580, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
10:09:59:27 | I | Matching ok | SEQ : 20174715690, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
10:10:02:67 | I | Matching ok | SEQ : 20174715680, PART : 52124713AD, SCAN P52124713AD, CELL [1,2]
10:10:05:94 | I | Matching ok | SEQ : 20174715670, PART : 52124713AD, SCAN P52124713AD, CELL [1,3]
10:10:11:17 | I | Matching ok | SEQ : 20174715660, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
10:10:14:59 | I | Matching ok | SEQ : 20174715650, PART : 04578885AC, SCAN P04578885AC, CELL [1,5]
10:10:16:65 | I | Matching ok | SEQ : 20174715640, PART : N/A, SCAN N/A, CELL [1,6]
10:10:21:34 | I | Matching ok | SEQ : 20174715750, PART : 52124713AD, SCAN P52124713AD, CELL [2,1]
10:10:23:35 | I | Matching ok | SEQ : 20174715740, PART : N/A, SCAN N/A, CELL [2,2]
10:10:26:02 | I | Matching ok | SEQ : 20174715730, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
10:10:36:54 | I | Matching ok | SEQ : 20174715720, PART : 52124713AD, SCAN P52124713AD, CELL [2,4]
10:10:41:72 | I | Matching ok | SEQ : 20174715710, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
10:10:43:73 | I | Matching ok | SEQ : 20174715700, PART : N/A, SCAN N/A, CELL [2,6]
10:19:08:98 | I | Matching ok | SEQ : 20174715810, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
10:19:13:18 | I | Matching ok | SEQ : 20174715800, PART : 52124713AD, SCAN P52124713AD, CELL [1,2]
10:19:15:19 | I | Matching ok | SEQ : 20174715790, PART : N/A, SCAN N/A, CELL [1,3]
10:19:17:78 | I | Matching ok | SEQ : 20174715780, PART : 52124713AD, SCAN P52124713AD, CELL [1,4]
10:19:19:79 | I | Matching ok | SEQ : 20174715770, PART : N/A, SCAN N/A, CELL [1,5]
10:19:25:13 | I | Matching ok | SEQ : 20174715760, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
10:19:28:93 | I | Matching ok | SEQ : 20174715870, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
10:19:32:55 | I | Matching ok | SEQ : 20174715860, PART : 52124713AD, SCAN P52124713AD, CELL [2,2]
10:19:34:57 | I | Matching ok | SEQ : 20174715850, PART : N/A, SCAN N/A, CELL [2,3]
10:19:37:73 | I | Matching ok | SEQ : 20174715840, PART : 04578885AC, SCAN P04578885AC, CELL [2,4]
10:19:41:40 | I | Matching ok | SEQ : 20174715830, PART : 52124713AD, SCAN P52124713AD, CELL [2,5]
10:19:45:20 | I | Matching ok | SEQ : 20174715820, PART : 52124713AD, SCAN P52124713AD, CELL [2,6]
10:28:31:62 | I | Matching ok | SEQ : 20174715930, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
10:28:34:92 | I | Matching ok | SEQ : 20174715920, PART : 52124713AD, SCAN P52124713AD, CELL [1,2]
10:28:37:87 | I | Matching ok | SEQ : 20174715910, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
10:28:40:59 | I | Matching ok | SEQ : 20174715900, PART : 52124713AD, SCAN P52124713AD, CELL [1,4]
10:28:43:72 | I | Matching ok | SEQ : 20174715890, PART : 04578885AC, SCAN P04578885AC, CELL [1,5]
10:28:46:49 | I | Matching ok | SEQ : 20174715880, PART : 52124713AD, SCAN P52124713AD, CELL [1,6]
10:28:49:52 | I | Matching ok | SEQ : 20174715990, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
10:28:52:35 | I | Matching ok | SEQ : 20174715980, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
10:28:55:15 | I | Matching ok | SEQ : 20174715970, PART : 52124713AD, SCAN P52124713AD, CELL [2,3]
10:28:57:18 | I | Matching ok | SEQ : 20174715960, PART : N/A, SCAN N/A, CELL [2,4]
10:29:00:27 | I | Matching ok | SEQ : 20174715950, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
10:29:03:72 | I | Matching ok | SEQ : 20174715940, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
10:37:47:63 | I | Matching ok | SEQ : 20174716050, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
10:37:50:81 | I | Matching ok | SEQ : 20174716040, PART : 04578885AC, SCAN P04578885AC, CELL [1,2]
10:37:53:91 | I | Matching ok | SEQ : 20174716030, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
10:37:56:90 | I | Matching ok | SEQ : 20174716020, PART : 52124713AD, SCAN P52124713AD, CELL [1,4]
10:37:58:91 | I | Matching ok | SEQ : 20174716010, PART : N/A, SCAN N/A, CELL [1,5]
10:38:00:93 | I | Matching ok | SEQ : 20174716000, PART : N/A, SCAN N/A, CELL [1,6]
10:38:09:43 | I | Matching ok | SEQ : 20174716110, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
10:38:18:41 | I | Matching ok | SEQ : 20174716100, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
10:38:20:42 | I | Matching ok | SEQ : 20174716090, PART : N/A, SCAN N/A, CELL [2,3]
10:38:23:76 | I | Matching ok | SEQ : 20174716080, PART : 52124713AD, SCAN P52124713AD, CELL [2,4]
10:38:28:08 | I | Matching ok | SEQ : 20174716070, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
10:38:31:88 | I | Matching ok | SEQ : 20174716060, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
10:47:35:97 | I | Matching ok | SEQ : 20174716170, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
10:47:39:89 | I | Matching ok | SEQ : 20174716160, PART : 04578885AC, SCAN P04578885AC, CELL [1,2]
10:47:41:92 | I | Matching ok | SEQ : 20174716150, PART : N/A, SCAN N/A, CELL [1,3]
10:47:47:82 | I | Matching ok | SEQ : 20174716140, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
10:47:49:85 | I | Matching ok | SEQ : 20174716130, PART : N/A, SCAN N/A, CELL [1,5]
10:47:53:32 | I | Matching ok | SEQ : 20174716120, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
10:47:56:54 | I | Matching ok | SEQ : 20174716230, PART : 52124713AD, SCAN P52124713AD, CELL [2,1]
10:47:59:37 | I | Matching ok | SEQ : 20174716220, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
10:48:01:39 | I | Matching ok | SEQ : 20174716210, PART : N/A, SCAN N/A, CELL [2,3]
10:48:04:82 | I | Matching ok | SEQ : 20174716200, PART : 52124713AD, SCAN P52124713AD, CELL [2,4]
10:48:07:32 | I | Matching ok | SEQ : 20174716190, PART : 52124713AD, SCAN P52124713AD, CELL [2,5]
10:48:09:33 | I | Matching ok | SEQ : 20174716180, PART : N/A, SCAN N/A, CELL [2,6]
10:57:24:46 | W | Mismatching | SEQ : 20174716290, PART : 04578885AC, SCAN P04578884AC, CELL [1,1]
10:57:36:71 | I | Matching ok | SEQ : 20174716290, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
10:57:38:73 | I | Matching ok | SEQ : 20174716280, PART : N/A, SCAN N/A, CELL [1,2]
10:57:41:16 | I | Matching ok | SEQ : 20174716270, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
10:57:44:41 | I | Matching ok | SEQ : 20174716260, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
10:57:47:66 | I | Matching ok | SEQ : 20174716250, PART : 04578885AC, SCAN P04578885AC, CELL [1,5]
10:57:51:46 | I | Matching ok | SEQ : 20174716240, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
10:57:53:48 | I | Matching ok | SEQ : 20174716350, PART : N/A, SCAN N/A, CELL [2,1]
10:57:56:78 | I | Matching ok | SEQ : 20174716340, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
10:58:00:01 | I | Matching ok | SEQ : 20174716330, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
10:58:02:61 | I | Matching ok | SEQ : 20174716320, PART : 04578885AC, SCAN P04578885AC, CELL [2,4]
10:58:05:16 | I | Matching ok | SEQ : 20174716310, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
10:58:07:81 | I | Matching ok | SEQ : 20174716300, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
11:47:01:43 | I | Matching ok | SEQ : 20174716410, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
11:47:04:60 | I | Matching ok | SEQ : 20174716400, PART : 52124713AD, SCAN P52124713AD, CELL [1,2]
11:47:06:65 | I | Matching ok | SEQ : 20174716390, PART : N/A, SCAN N/A, CELL [1,3]
11:47:08:70 | I | Matching ok | SEQ : 20174716380, PART : N/A, SCAN N/A, CELL [1,4]
11:47:13:33 | I | Matching ok | SEQ : 20174716370, PART : 04578885AC, SCAN P04578885AC, CELL [1,5]
11:47:16:60 | I | Matching ok | SEQ : 20174716360, PART : 52124713AD, SCAN P52124713AD, CELL [1,6]
11:47:19:38 | I | Matching ok | SEQ : 20174716470, PART : 52124713AD, SCAN P52124713AD, CELL [2,1]
11:47:21:43 | I | Matching ok | SEQ : 20174716460, PART : N/A, SCAN N/A, CELL [2,2]
11:47:24:93 | I | Matching ok | SEQ : 20174716450, PART : 52124713AD, SCAN P52124713AD, CELL [2,3]
11:47:27:85 | I | Matching ok | SEQ : 20174716440, PART : 04578885AC, SCAN P04578885AC, CELL [2,4]
11:47:29:91 | I | Matching ok | SEQ : 20174716430, PART : N/A, SCAN N/A, CELL [2,5]
11:47:32:23 | I | Matching ok | SEQ : 20174716420, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
11:57:59:35 | I | Matching ok | SEQ : 20174716530, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
11:58:03:84 | I | Matching ok | SEQ : 20174716520, PART : 04578885AC, SCAN P04578885AC, CELL [1,2]
11:58:06:74 | I | Matching ok | SEQ : 20174716510, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
11:58:10:99 | I | Matching ok | SEQ : 20174716500, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
11:58:14:30 | I | Matching ok | SEQ : 20174716490, PART : 52124713AD, SCAN P52124713AD, CELL [1,5]
11:58:17:90 | I | Matching ok | SEQ : 20174716480, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
11:58:21:40 | I | Matching ok | SEQ : 20174716590, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
11:58:25:15 | I | Matching ok | SEQ : 20174716580, PART : 52124713AD, SCAN P52124713AD, CELL [2,2]
11:58:28:04 | I | Matching ok | SEQ : 20174716570, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
11:58:31:50 | I | Matching ok | SEQ : 20174716560, PART : 04578885AC, SCAN P04578885AC, CELL [2,4]
11:58:35:42 | I | Matching ok | SEQ : 20174716550, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
11:58:39:32 | I | Matching ok | SEQ : 20174716540, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
12:07:18:51 | I | Matching ok | SEQ : 20174716650, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
12:07:20:61 | I | Matching ok | SEQ : 20174716640, PART : N/A, SCAN N/A, CELL [1,2]
12:07:24:96 | I | Matching ok | SEQ : 20174716630, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
12:07:27:00 | I | Matching ok | SEQ : 20174716620, PART : N/A, SCAN N/A, CELL [1,4]
12:07:31:11 | I | Matching ok | SEQ : 20174716610, PART : 04578885AC, SCAN P04578885AC, CELL [1,5]
12:07:35:16 | I | Matching ok | SEQ : 20174716600, PART : 52124713AD, SCAN P52124713AD, CELL [1,6]
12:07:37:20 | I | Matching ok | SEQ : 20174716710, PART : N/A, SCAN N/A, CELL [2,1]
12:07:40:93 | I | Matching ok | SEQ : 20174716700, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
12:07:45:66 | I | Matching ok | SEQ : 20174716690, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
12:07:47:72 | I | Matching ok | SEQ : 20174716680, PART : N/A, SCAN N/A, CELL [2,4]
12:07:51:34 | I | Matching ok | SEQ : 20174716670, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
12:07:55:36 | I | Matching ok | SEQ : 20174716660, PART : 52124713AD, SCAN P52124713AD, CELL [2,6]
12:22:15:00 | I | Matching ok | SEQ : 20174716770, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
12:22:19:60 | I | Matching ok | SEQ : 20174716760, PART : 52124713AD, SCAN P52124713AD, CELL [1,2]
12:22:21:65 | I | Matching ok | SEQ : 20174716750, PART : N/A, SCAN N/A, CELL [1,3]
12:22:25:53 | I | Matching ok | SEQ : 20174716740, PART : 52124713AD, SCAN P52124713AD, CELL [1,4]
12:22:29:83 | I | Matching ok | SEQ : 20174716730, PART : 04578885AC, SCAN P04578885AC, CELL [1,5]
12:22:33:91 | I | Matching ok | SEQ : 20174716720, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
12:22:37:98 | I | Matching ok | SEQ : 20174716830, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
12:22:42:26 | I | Matching ok | SEQ : 20174716820, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
12:22:46:68 | I | Matching ok | SEQ : 20174716810, PART : 52124713AD, SCAN P52124713AD, CELL [2,3]
12:22:50:78 | I | Matching ok | SEQ : 20174716800, PART : 52124713AD, SCAN P52124713AD, CELL [2,4]
12:22:52:82 | I | Matching ok | SEQ : 20174716790, PART : N/A, SCAN N/A, CELL [2,5]
12:22:57:16 | I | Matching ok | SEQ : 20174716780, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
12:30:58:34 | I | Matching ok | SEQ : 20174716890, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
12:31:02:42 | I | Matching ok | SEQ : 20174716880, PART : 52124713AD, SCAN P52124713AD, CELL [1,2]
12:31:06:94 | I | Matching ok | SEQ : 20174716870, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
12:31:09:00 | I | Matching ok | SEQ : 20174716860, PART : N/A, SCAN N/A, CELL [1,4]
12:31:12:69 | I | Matching ok | SEQ : 20174716850, PART : 04578885AC, SCAN P04578885AC, CELL [1,5]
12:31:16:84 | I | Matching ok | SEQ : 20174716840, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
12:31:18:90 | I | Matching ok | SEQ : 20174716950, PART : N/A, SCAN N/A, CELL [2,1]
12:31:22:49 | I | Matching ok | SEQ : 20174716940, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
12:31:24:57 | I | Matching ok | SEQ : 20174716930, PART : N/A, SCAN N/A, CELL [2,3]
12:31:26:63 | I | Matching ok | SEQ : 20174716920, PART : N/A, SCAN N/A, CELL [2,4]
12:31:30:57 | I | Matching ok | SEQ : 20174716910, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
12:31:34:22 | I | Matching ok | SEQ : 20174716900, PART : 52124713AD, SCAN P52124713AD, CELL [2,6]
12:39:27:51 | I | Matching ok | SEQ : 20174717010, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
12:39:31:73 | I | Matching ok | SEQ : 20174717000, PART : 04578885AC, SCAN P04578885AC, CELL [1,2]
12:39:36:15 | I | Matching ok | SEQ : 20174716990, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
12:39:40:68 | I | Matching ok | SEQ : 20174716980, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
12:39:44:60 | I | Matching ok | SEQ : 20174716970, PART : 04578885AC, SCAN P04578885AC, CELL [1,5]
12:39:46:62 | I | Matching ok | SEQ : 20174716960, PART : N/A, SCAN N/A, CELL [1,6]
12:39:51:08 | I | Matching ok | SEQ : 20174717070, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
12:39:57:33 | I | Matching ok | SEQ : 20174717060, PART : 52124713AD, SCAN P52124713AD, CELL [2,2]
12:39:59:36 | I | Matching ok | SEQ : 20174717050, PART : N/A, SCAN N/A, CELL [2,3]
12:40:03:10 | I | Matching ok | SEQ : 20174717040, PART : 04578885AC, SCAN P04578885AC, CELL [2,4]
12:40:07:33 | I | Matching ok | SEQ : 20174717030, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
12:40:11:48 | I | Matching ok | SEQ : 20174717020, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
12:52:29:50 | I | Matching ok | SEQ : 20174717130, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
12:52:34:20 | I | Matching ok | SEQ : 20174717120, PART : 04578885AC, SCAN P04578885AC, CELL [1,2]
12:52:47:42 | I | Matching ok | SEQ : 20174717110, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
12:52:52:00 | I | Matching ok | SEQ : 20174717100, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
12:52:55:90 | I | Matching ok | SEQ : 20174717090, PART : 04578885AC, SCAN P04578885AC, CELL [1,5]
12:52:59:87 | I | Matching ok | SEQ : 20174717080, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
12:53:03:92 | I | Matching ok | SEQ : 20174717190, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
12:53:05:96 | I | Matching ok | SEQ : 20174717180, PART : N/A, SCAN N/A, CELL [2,2]
12:53:09:77 | I | Matching ok | SEQ : 20174717170, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
12:53:13:67 | I | Matching ok | SEQ : 20174717160, PART : 04578885AC, SCAN P04578885AC, CELL [2,4]
12:53:17:75 | I | Matching ok | SEQ : 20174717150, PART : 52124713AD, SCAN P52124713AD, CELL [2,5]
12:53:21:58 | I | Matching ok | SEQ : 20174717140, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
13:04:51:64 | I | Matching ok | SEQ : 20174717250, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
13:04:54:34 | I | Matching ok | SEQ : 20174717240, PART : 04578885AC, SCAN P04578885AC, CELL [1,2]
13:04:56:36 | I | Matching ok | SEQ : 20174717230, PART : N/A, SCAN N/A, CELL [1,3]
13:04:59:97 | I | Matching ok | SEQ : 20174717220, PART : 52124713AD, SCAN P52124713AD, CELL [1,4]
13:05:03:04 | I | Matching ok | SEQ : 20174717210, PART : 04578885AC, SCAN P04578885AC, CELL [1,5]
13:05:05:67 | I | Matching ok | SEQ : 20174717200, PART : 52124713AD, SCAN P52124713AD, CELL [1,6]
13:05:08:94 | I | Matching ok | SEQ : 20174717310, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
13:05:12:09 | I | Matching ok | SEQ : 20174717300, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
13:05:15:82 | I | Matching ok | SEQ : 20174717290, PART : 52124713AD, SCAN P52124713AD, CELL [2,3]
13:05:17:82 | I | Matching ok | SEQ : 20174717280, PART : N/A, SCAN N/A, CELL [2,4]
13:05:21:45 | I | Matching ok | SEQ : 20174717270, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
13:05:23:45 | I | Matching ok | SEQ : 20174717260, PART : N/A, SCAN N/A, CELL [2,6]
13:05:25:53 | I | Matching ok | SEQ : 20174717370, PART : N/A, SCAN N/A, CELL [1,1]
13:05:27:56 | I | Matching ok | SEQ : 20174717360, PART : N/A, SCAN N/A, CELL [1,2]
13:13:50:15 | I | Matching ok | SEQ : 20174717350, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
13:13:53:83 | I | Matching ok | SEQ : 20174717340, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
13:13:57:31 | I | Matching ok | SEQ : 20174717330, PART : 52124713AD, SCAN P52124713AD, CELL [1,5]
13:13:59:32 | I | Matching ok | SEQ : 20174717320, PART : N/A, SCAN N/A, CELL [1,6]
13:14:01:73 | I | Matching ok | SEQ : 20174717430, PART : 52124713AD, SCAN P52124713AD, CELL [2,1]
13:14:04:83 | I | Matching ok | SEQ : 20174717420, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
13:14:08:05 | I | Matching ok | SEQ : 20174717410, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
13:14:11:03 | I | Matching ok | SEQ : 20174717400, PART : 04578885AC, SCAN P04578885AC, CELL [2,4]
13:14:13:04 | I | Matching ok | SEQ : 20174717390, PART : N/A, SCAN N/A, CELL [2,5]
13:14:15:58 | I | Matching ok | SEQ : 20174717380, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
13:14:18:02 | I | Matching ok | SEQ : 20174717490, PART : N/A, SCAN N/A, CELL [1,1]
13:27:28:37 | I | Matching ok | SEQ : 20174717480, PART : 04578885AC, SCAN P04578885AC, CELL [1,2]
13:27:31:40 | I | Matching ok | SEQ : 20174717470, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
13:27:34:32 | I | Matching ok | SEQ : 20174717460, PART : 52124713AD, SCAN P52124713AD, CELL [1,4]
13:27:37:35 | I | Matching ok | SEQ : 20174717450, PART : 04578885AC, SCAN P04578885AC, CELL [1,5]
13:27:40:22 | I | Matching ok | SEQ : 20174717440, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
13:27:42:24 | I | Matching ok | SEQ : 20174717550, PART : N/A, SCAN N/A, CELL [2,1]
13:27:44:25 | I | Matching ok | SEQ : 20174717540, PART : N/A, SCAN N/A, CELL [2,2]
13:27:47:40 | I | Matching ok | SEQ : 20174717530, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
13:27:50:77 | I | Matching ok | SEQ : 20174717520, PART : 04578885AC, SCAN P04578885AC, CELL [2,4]
13:27:53:45 | I | Matching ok | SEQ : 20174717510, PART : 52124713AD, SCAN P52124713AD, CELL [2,5]
13:28:00:30 | I | Matching ok | SEQ : 20174717500, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
13:40:27:94 | I | Matching ok | SEQ : 20174717610, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
13:40:31:15 | I | Matching ok | SEQ : 20174717600, PART : 04578885AC, SCAN P04578885AC, CELL [1,2]
13:40:34:27 | I | Matching ok | SEQ : 20174717590, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
13:40:38:82 | I | Matching ok | SEQ : 20174717580, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
13:40:43:47 | I | Matching ok | SEQ : 20174717570, PART : 04578885AC, SCAN P04578885AC, CELL [1,5]
13:40:46:87 | I | Matching ok | SEQ : 20174717560, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
13:40:51:99 | I | Matching ok | SEQ : 20174717670, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
13:40:54:74 | I | Matching ok | SEQ : 20174717660, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
13:40:57:17 | I | Matching ok | SEQ : 20174717650, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
13:41:00:09 | I | Matching ok | SEQ : 20174717640, PART : 04578885AC, SCAN P04578885AC, CELL [2,4]
13:41:02:44 | I | Matching ok | SEQ : 20174717630, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
13:41:04:99 | I | Matching ok | SEQ : 20174717620, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
13:50:43:11 | I | Matching ok | SEQ : 20174717730, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
13:50:45:13 | I | Matching ok | SEQ : 20174717720, PART : N/A, SCAN N/A, CELL [1,2]
