00:05:48:90 | W | Mismatching | SEQ : 20174734890, PART : 52124713AD, SCAN P52124712AD, CELL [1,1]
09:55:54:92 | I | Matching ok | SEQ : 20174739580, PART : N/A, SCAN N/A, CELL [2,6]
10:05:54:27 | I | Matching ok | SEQ : 20174739690, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
10:05:56:28 | I | Matching ok | SEQ : 20174739680, PART : N/A, SCAN N/A, CELL [1,2]
10:06:03:41 | I | Matching ok | SEQ : 20174739670, PART : 52124713AD, SCAN P52124713AD, CELL [1,3]
10:06:07:59 | I | Matching ok | SEQ : 20174739660, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
10:06:09:60 | I | Matching ok | SEQ : 20174739650, PART : N/A, SCAN N/A, CELL [1,5]
10:06:11:87 | I | Matching ok | SEQ : 20174739640, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
10:06:17:54 | I | Matching ok | SEQ : 20174739750, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
10:06:19:55 | I | Matching ok | SEQ : 20174739740, PART : N/A, SCAN N/A, CELL [2,2]
10:06:21:57 | I | Matching ok | SEQ : 20174739730, PART : N/A, SCAN N/A, CELL [2,3]
10:06:24:24 | I | Matching ok | SEQ : 20174739720, PART : 04578885AC, SCAN P04578885AC, CELL [2,4]
10:06:26:25 | I | Matching ok | SEQ : 20174739710, PART : N/A, SCAN N/A, CELL [2,5]
10:06:32:74 | I | Matching ok | SEQ : 20174739700, PART : 52124713AD, SCAN P52124713AD, CELL [2,6]
10:13:39:62 | W | Mismatching | SEQ : 20174739810, PART : 52124713AD, SCAN P04578885AC, CELL [1,1]
10:13:52:53 | W | Mismatching | SEQ : 20174739810, PART : 52124713AD, SCAN TQ41907H0219, CELL [1,1]
10:14:11:38 | I | Matching ok | SEQ : 20174739810, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
10:14:13:41 | I | Matching ok | SEQ : 20174739800, PART : N/A, SCAN N/A, CELL [1,2]
10:14:17:98 | I | Matching ok | SEQ : 20174739790, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
10:14:24:35 | I | Matching ok | SEQ : 20174739780, PART : 52124713AD, SCAN P52124713AD, CELL [1,4]
10:14:27:38 | I | Matching ok | SEQ : 20174739770, PART : 04578885AC, SCAN P04578885AC, CELL [1,5]
10:14:29:85 | I | Matching ok | SEQ : 20174739760, PART : 52124713AD, SCAN P52124713AD, CELL [1,6]
10:14:31:86 | I | Matching ok | SEQ : 20174739870, PART : N/A, SCAN N/A, CELL [2,1]
10:14:35:38 | I | Matching ok | SEQ : 20174739860, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
10:14:37:55 | I | Matching ok | SEQ : 20174739850, PART : 52124713AD, SCAN P52124713AD, CELL [2,3]
10:14:39:57 | I | Matching ok | SEQ : 20174739840, PART : N/A, SCAN N/A, CELL [2,4]
10:14:40:33 | I | Matching ok | SEQ : 20174739830, PART : 52124713AD, SCAN P52124713AD, CELL [2,5]
10:14:44:38 | I | Matching ok | SEQ : 20174739820, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
10:14:46:53 | I | Matching ok | SEQ : 20174739930, PART : N/A, SCAN N/A, CELL [1,1]
10:21:37:26 | I | Matching ok | SEQ : 20174739920, PART : 04578885AC, SCAN P04578885AC, CELL [1,2]
10:21:40:94 | I | Matching ok | SEQ : 20174739910, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
10:21:42:95 | I | Matching ok | SEQ : 20174739900, PART : N/A, SCAN N/A, CELL [1,4]
10:21:44:97 | I | Matching ok | SEQ : 20174739890, PART : N/A, SCAN N/A, CELL [1,5]
10:21:48:52 | W | Mismatching | SEQ : 20174739880, PART : 52124713AD, SCAN P04578885AC, CELL [1,6]
10:21:50:47 | I | Matching ok | SEQ : 20174739880, PART : 52124713AD, SCAN P52124713AD, CELL [1,6]
10:21:52:37 | I | Matching ok | SEQ : 20174739990, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
10:21:54:94 | I | Matching ok | SEQ : 20174739980, PART : 52124713AD, SCAN P52124713AD, CELL [2,2]
10:21:57:59 | I | Matching ok | SEQ : 20174739970, PART : 52124713AD, SCAN P52124713AD, CELL [2,3]
10:21:59:60 | I | Matching ok | SEQ : 20174739960, PART : N/A, SCAN N/A, CELL [2,4]
10:22:01:31 | I | Matching ok | SEQ : 20174739950, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
10:22:05:06 | I | Matching ok | SEQ : 20174739940, PART : 52124713AD, SCAN P52124713AD, CELL [2,6]
10:33:25:90 | I | Matching ok | SEQ : 20174740050, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
10:33:29:80 | I | Matching ok | SEQ : 20174740040, PART : 04578885AC, SCAN P04578885AC, CELL [1,2]
10:33:31:84 | I | Matching ok | SEQ : 20174740030, PART : N/A, SCAN N/A, CELL [1,3]
10:33:36:33 | W | Mismatching | SEQ : 20174740020, PART : 52124713AD, SCAN P04578885AC, CELL [1,4]
10:33:56:78 | I | Matching ok | SEQ : 20174740020, PART : 52124713AD, SCAN P52124713AD, CELL [1,4]
10:34:00:31 | I | Matching ok | SEQ : 20174740010, PART : 04578885AC, SCAN P04578885AC, CELL [1,5]
10:34:03:60 | I | Matching ok | SEQ : 20174740000, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
10:34:06:41 | I | Matching ok | SEQ : 20174740110, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
10:34:09:20 | I | Matching ok | SEQ : 20174740100, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
10:34:11:23 | I | Matching ok | SEQ : 20174740090, PART : N/A, SCAN N/A, CELL [2,3]
10:34:15:00 | I | Matching ok | SEQ : 20174740080, PART : 52124713AD, SCAN P52124713AD, CELL [2,4]
10:34:20:03 | I | Matching ok | SEQ : 20174740070, PART : 52124713AD, SCAN P52124713AD, CELL [2,5]
10:34:22:04 | I | Matching ok | SEQ : 20174740060, PART : N/A, SCAN N/A, CELL [2,6]
10:44:45:12 | W | Mismatching | SEQ : 20174740170, PART : 04578885AC, SCAN P04578884AC, CELL [1,1]
10:47:20:58 | I | Matching ok | SEQ : 20174740170, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
10:47:22:95 | I | Matching ok | SEQ : 20174740160, PART : 04578885AC, SCAN P04578885AC, CELL [1,2]
10:47:24:96 | I | Matching ok | SEQ : 20174740150, PART : N/A, SCAN N/A, CELL [1,3]
10:47:28:32 | I | Matching ok | SEQ : 20174740140, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
10:47:34:02 | I | Matching ok | SEQ : 20174740130, PART : 04578885AC, SCAN P04578885AC, CELL [1,5]
10:47:35:65 | W | Mismatching | SEQ : 20174740120, PART : N/A, SCAN P04578885AC, CELL [1,6]
10:47:36:04 | I | Matching ok | SEQ : 20174740120, PART : N/A, SCAN N/A, CELL [1,6]
10:47:50:85 | I | Matching ok | SEQ : 20174740230, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
10:47:53:85 | I | Matching ok | SEQ : 20174740220, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
10:47:55:87 | I | Matching ok | SEQ : 20174740210, PART : N/A, SCAN N/A, CELL [2,3]
10:47:57:70 | I | Matching ok | SEQ : 20174740200, PART : 52124713AD, SCAN P52124713AD, CELL [2,4]
10:48:01:00 | I | Matching ok | SEQ : 20174740190, PART : 52124713AD, SCAN P52124713AD, CELL [2,5]
10:48:03:03 | I | Matching ok | SEQ : 20174740180, PART : N/A, SCAN N/A, CELL [2,6]
10:59:08:59 | I | Matching ok | SEQ : 20174740290, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
10:59:11:52 | I | Matching ok | SEQ : 20174740280, PART : 52124713AD, SCAN P52124713AD, CELL [1,2]
10:59:14:57 | I | Matching ok | SEQ : 20174740270, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
10:59:19:07 | I | Matching ok | SEQ : 20174740260, PART : 52124713AD, SCAN P52124713AD, CELL [1,4]
10:59:21:08 | I | Matching ok | SEQ : 20174740250, PART : N/A, SCAN N/A, CELL [1,5]
10:59:26:29 | I | Matching ok | SEQ : 20174740240, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
10:59:35:64 | I | Matching ok | SEQ : 20174740350, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
10:59:41:74 | I | Matching ok | SEQ : 20174740340, PART : 52124713AD, SCAN P52124713AD, CELL [2,2]
10:59:43:78 | I | Matching ok | SEQ : 20174740330, PART : N/A, SCAN N/A, CELL [2,3]
10:59:49:67 | I | Matching ok | SEQ : 20174740320, PART : 04578885AC, SCAN P04578885AC, CELL [2,4]
10:59:56:72 | I | Matching ok | SEQ : 20174740310, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
10:59:58:74 | I | Matching ok | SEQ : 20174740300, PART : N/A, SCAN N/A, CELL [2,6]
11:42:19:68 | I | Matching ok | SEQ : 20174740410, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
11:42:23:80 | I | Matching ok | SEQ : 20174740400, PART : 04578885AC, SCAN P04578885AC, CELL [1,2]
11:42:25:84 | I | Matching ok | SEQ : 20174740390, PART : N/A, SCAN N/A, CELL [1,3]
11:42:28:31 | I | Matching ok | SEQ : 20174740380, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
11:42:29:86 | I | Matching ok | SEQ : 20174740370, PART : 52124713AD, SCAN P52124713AD, CELL [1,5]
11:42:31:87 | I | Matching ok | SEQ : 20174740360, PART : N/A, SCAN N/A, CELL [1,6]
11:42:34:08 | I | Matching ok | SEQ : 20174740470, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
11:42:35:48 | I | Matching ok | SEQ : 20174740460, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
11:42:37:45 | I | Matching ok | SEQ : 20174740450, PART : 52124713AD, SCAN P52124713AD, CELL [2,3]
11:42:39:06 | I | Matching ok | SEQ : 20174740440, PART : 04578885AC, SCAN P04578885AC, CELL [2,4]
11:42:41:08 | I | Matching ok | SEQ : 20174740430, PART : N/A, SCAN N/A, CELL [2,5]
11:42:42:70 | I | Matching ok | SEQ : 20174740420, PART : 52124713AD, SCAN P52124713AD, CELL [2,6]
11:45:21:73 | I | Matching ok | SEQ : 20174740530, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
11:45:24:33 | I | Matching ok | SEQ : 20174740520, PART : 04578885AC, SCAN P04578885AC, CELL [1,2]
11:45:26:58 | I | Matching ok | SEQ : 20174740510, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
11:45:38:63 | I | Matching ok | SEQ : 20174740500, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
11:46:02:87 | I | Matching ok | SEQ : 20174740490, PART : 04578885AC, SCAN P04578885AC, CELL [1,5]
11:46:06:18 | I | Matching ok | SEQ : 20174740480, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
11:46:20:49 | I | Matching ok | SEQ : 20174740590, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
11:46:22:50 | I | Matching ok | SEQ : 20174740580, PART : N/A, SCAN N/A, CELL [2,2]
11:46:34:78 | I | Matching ok | SEQ : 20174740570, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
11:46:37:46 | I | Matching ok | SEQ : 20174740560, PART : 04578885AC, SCAN P04578885AC, CELL [2,4]
11:46:39:49 | I | Matching ok | SEQ : 20174740550, PART : N/A, SCAN N/A, CELL [2,5]
11:46:42:81 | I | Matching ok | SEQ : 20174740540, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
11:58:21:25 | I | Matching ok | SEQ : 20174740650, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
11:58:23:28 | I | Matching ok | SEQ : 20174740640, PART : N/A, SCAN N/A, CELL [1,2]
11:58:25:48 | I | Matching ok | SEQ : 20174740630, PART : 52124713AD, SCAN P52124713AD, CELL [1,3]
11:58:28:13 | I | Matching ok | SEQ : 20174740620, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
11:58:30:14 | I | Matching ok | SEQ : 20174740610, PART : N/A, SCAN N/A, CELL [1,5]
11:58:30:95 | I | Matching ok | SEQ : 20174740600, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
11:58:32:96 | I | Matching ok | SEQ : 20174740710, PART : N/A, SCAN N/A, CELL [2,1]
11:58:34:08 | I | Matching ok | SEQ : 20174740700, PART : 52124713AD, SCAN P52124713AD, CELL [2,2]
11:58:40:76 | I | Matching ok | SEQ : 20174740690, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
11:58:44:90 | I | Matching ok | SEQ : 20174740680, PART : 52124713AD, SCAN P52124713AD, CELL [2,4]
11:58:46:91 | I | Matching ok | SEQ : 20174740670, PART : N/A, SCAN N/A, CELL [2,5]
11:58:57:55 | I | Matching ok | SEQ : 20174740660, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
11:58:59:97 | I | Matching ok | SEQ : 20174740770, PART : N/A, SCAN N/A, CELL [1,1]
12:10:39:44 | I | Matching ok | SEQ : 20174740760, PART : 52124713AD, SCAN P52124713AD, CELL [1,2]
12:10:44:32 | I | Matching ok | SEQ : 20174740750, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
12:10:46:34 | I | Matching ok | SEQ : 20174740740, PART : N/A, SCAN N/A, CELL [1,4]
12:10:48:44 | I | Matching ok | SEQ : 20174740730, PART : 04578885AC, SCAN P04578885AC, CELL [1,5]
12:10:55:62 | I | Matching ok | SEQ : 20174740720, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
12:10:57:65 | I | Matching ok | SEQ : 20174740830, PART : N/A, SCAN N/A, CELL [2,1]
12:11:19:50 | W | Mismatching | SEQ : 20174740820, PART : 52124713AD, SCAN P04578885AC, CELL [2,2]
12:11:21:94 | W | Mismatching | SEQ : 20174740820, PART : 52124713AD, SCAN TQ41907H0315, CELL [2,2]
12:11:25:49 | I | Matching ok | SEQ : 20174740820, PART : 52124713AD, SCAN P52124713AD, CELL [2,2]
12:11:28:87 | I | Matching ok | SEQ : 20174740810, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
12:11:30:89 | I | Matching ok | SEQ : 20174740800, PART : N/A, SCAN N/A, CELL [2,4]
12:11:33:42 | I | Matching ok | SEQ : 20174740790, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
12:11:37:00 | I | Matching ok | SEQ : 20174740780, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
12:22:35:81 | I | Matching ok | SEQ : 20174740890, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
12:22:41:26 | I | Matching ok | SEQ : 20174740880, PART : 04578885AC, SCAN P04578885AC, CELL [1,2]
12:22:43:30 | I | Matching ok | SEQ : 20174740870, PART : N/A, SCAN N/A, CELL [1,3]
12:22:47:69 | I | Matching ok | SEQ : 20174740860, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
12:22:51:06 | I | Matching ok | SEQ : 20174740850, PART : 04578885AC, SCAN P04578885AC, CELL [1,5]
12:22:54:34 | I | Matching ok | SEQ : 20174740840, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
12:22:58:44 | I | Matching ok | SEQ : 20174740950, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
12:23:02:99 | I | Matching ok | SEQ : 20174740940, PART : 52124713AD, SCAN P52124713AD, CELL [2,2]
12:23:05:02 | I | Matching ok | SEQ : 20174740930, PART : N/A, SCAN N/A, CELL [2,3]
12:23:07:39 | I | Matching ok | SEQ : 20174740920, PART : 52124713AD, SCAN P52124713AD, CELL [2,4]
12:23:10:06 | I | Matching ok | SEQ : 20174740910, PART : 52124713AD, SCAN P52124713AD, CELL [2,5]
12:23:12:07 | I | Matching ok | SEQ : 20174740900, PART : N/A, SCAN N/A, CELL [2,6]
12:35:56:21 | I | Matching ok | SEQ : 20174741010, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
12:35:59:56 | I | Matching ok | SEQ : 20174741000, PART : 52124713AD, SCAN P52124713AD, CELL [1,2]
12:36:01:58 | I | Matching ok | SEQ : 20174740990, PART : N/A, SCAN N/A, CELL [1,3]
12:36:04:66 | I | Matching ok | SEQ : 20174740980, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
12:36:09:80 | I | Matching ok | SEQ : 20174740970, PART : 04578885AC, SCAN P04578885AC, CELL [1,5]
12:36:11:87 | I | Matching ok | SEQ : 20174740960, PART : N/A, SCAN N/A, CELL [1,6]
12:36:14:18 | I | Matching ok | SEQ : 20174741070, PART : 52124713AD, SCAN P52124713AD, CELL [2,1]
12:36:16:21 | I | Matching ok | SEQ : 20174741060, PART : N/A, SCAN N/A, CELL [2,2]
12:36:18:78 | I | Matching ok | SEQ : 20174741050, PART : 52124713AD, SCAN P52124713AD, CELL [2,3]
12:36:21:78 | I | Matching ok | SEQ : 20174741040, PART : 04578885AC, SCAN P04578885AC, CELL [2,4]
12:36:36:16 | I | Matching ok | SEQ : 20174741030, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
12:36:38:19 | I | Matching ok | SEQ : 20174741020, PART : N/A, SCAN N/A, CELL [2,6]
12:36:40:26 | I | Matching ok | SEQ : 20174741130, PART : N/A, SCAN N/A, CELL [1,1]
12:47:06:62 | W | Mismatching | SEQ : 20174741120, PART : 52124713AD, SCAN TQ41777H0272, CELL [1,2]
12:47:21:93 | I | Matching ok | SEQ : 20174741120, PART : 52124713AD, SCAN P52124713AD, CELL [1,2]
12:47:29:42 | I | Matching ok | SEQ : 20174741110, PART : 52124713AD, SCAN P52124713AD, CELL [1,3]
12:47:34:17 | I | Matching ok | SEQ : 20174741100, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
12:47:36:20 | I | Matching ok | SEQ : 20174741090, PART : N/A, SCAN N/A, CELL [1,5]
12:47:41:15 | I | Matching ok | SEQ : 20174741080, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
12:47:44:67 | I | Matching ok | SEQ : 20174741190, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
12:47:48:65 | I | Matching ok | SEQ : 20174741180, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
12:47:50:66 | I | Matching ok | SEQ : 20174741170, PART : N/A, SCAN N/A, CELL [2,3]
12:47:52:70 | I | Matching ok | SEQ : 20174741160, PART : 52124713AD, SCAN P52124713AD, CELL [2,4]
12:47:56:62 | I | Matching ok | SEQ : 20174741150, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
12:47:59:27 | I | Matching ok | SEQ : 20174741140, PART : 52124713AD, SCAN P52124713AD, CELL [2,6]
12:50:49:98 | I | Matching ok | SEQ : 20174741250, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
12:50:52:01 | I | Matching ok | SEQ : 20174741240, PART : N/A, SCAN N/A, CELL [1,2]
12:50:56:23 | I | Matching ok | SEQ : 20174741230, PART : 52124713AD, SCAN P52124713AD, CELL [1,3]
12:51:01:66 | I | Matching ok | SEQ : 20174741220, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
12:51:10:18 | I | Matching ok | SEQ : 20174741210, PART : 04578885AC, SCAN P04578885AC, CELL [1,5]
12:51:12:20 | I | Matching ok | SEQ : 20174741200, PART : N/A, SCAN N/A, CELL [1,6]
12:51:16:90 | I | Matching ok | SEQ : 20174741310, PART : 52124713AD, SCAN P52124713AD, CELL [2,1]
12:51:19:98 | I | Matching ok | SEQ : 20174741300, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
12:51:23:40 | I | Matching ok | SEQ : 20174741290, PART : 52124713AD, SCAN P52124713AD, CELL [2,3]
12:51:25:43 | I | Matching ok | SEQ : 20174741280, PART : N/A, SCAN N/A, CELL [2,4]
12:51:28:46 | I | Matching ok | SEQ : 20174741270, PART : 52124713AD, SCAN P52124713AD, CELL [2,5]
12:51:30:93 | I | Matching ok | SEQ : 20174741260, PART : 52124713AD, SCAN P52124713AD, CELL [2,6]
12:59:12:92 | I | Matching ok | SEQ : 20174741370, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
12:59:15:30 | I | Matching ok | SEQ : 20174741360, PART : 04578885AC, SCAN P04578885AC, CELL [1,2]
12:59:18:07 | I | Matching ok | SEQ : 20174741350, PART : 52124713AD, SCAN P52124713AD, CELL [1,3]
12:59:26:77 | I | Matching ok | SEQ : 20174741340, PART : 52124713AD, SCAN P52124713AD, CELL [1,4]
12:59:29:82 | I | Matching ok | SEQ : 20174741330, PART : 04578885AC, SCAN P04578885AC, CELL [1,5]
12:59:31:84 | I | Matching ok | SEQ : 20174741320, PART : N/A, SCAN N/A, CELL [1,6]
12:59:39:57 | I | Matching ok | SEQ : 20174741430, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
12:59:44:77 | I | Matching ok | SEQ : 20174741420, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
12:59:46:78 | I | Matching ok | SEQ : 20174741410, PART : N/A, SCAN N/A, CELL [2,3]
12:59:54:08 | I | Matching ok | SEQ : 20174741400, PART : 52124713AD, SCAN P52124713AD, CELL [2,4]
13:00:00:14 | I | Matching ok | SEQ : 20174741390, PART : 52124713AD, SCAN P52124713AD, CELL [2,5]
13:00:04:29 | I | Matching ok | SEQ : 20174741380, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
13:24:19:80 | I | Matching ok | SEQ : 20174741490, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
13:24:25:41 | I | Matching ok | SEQ : 20174741480, PART : 52124713AD, SCAN P52124713AD, CELL [1,2]
13:24:30:06 | I | Matching ok | SEQ : 20174741470, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
13:24:33:45 | I | Matching ok | SEQ : 20174741460, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
13:24:38:65 | I | Matching ok | SEQ : 20174741450, PART : 04578885AC, SCAN P04578885AC, CELL [1,5]
13:24:40:67 | I | Matching ok | SEQ : 20174741440, PART : N/A, SCAN N/A, CELL [1,6]
13:24:59:51 | I | Matching ok | SEQ : 20174741550, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
13:25:04:20 | I | Matching ok | SEQ : 20174741540, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
13:25:11:48 | I | Matching ok | SEQ : 20174741530, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
13:25:22:43 | I | Matching ok | SEQ : 20174741520, PART : 52124713AD, SCAN P52124713AD, CELL [2,4]
13:25:33:21 | I | Matching ok | SEQ : 20174741510, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
13:25:35:22 | I | Matching ok | SEQ : 20174741500, PART : N/A, SCAN N/A, CELL [2,6]
13:39:19:25 | I | Matching ok | SEQ : 20174741610, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
13:39:26:12 | I | Matching ok | SEQ : 20174741600, PART : 04578885AC, SCAN P04578885AC, CELL [1,2]
13:39:28:16 | I | Matching ok | SEQ : 20174741590, PART : N/A, SCAN N/A, CELL [1,3]
13:39:30:90 | I | Matching ok | SEQ : 20174741580, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
13:39:34:67 | I | Matching ok | SEQ : 20174741570, PART : 04578885AC, SCAN P04578885AC, CELL [1,5]
13:39:36:69 | I | Matching ok | SEQ : 20174741560, PART : N/A, SCAN N/A, CELL [1,6]
13:39:46:23 | W | Mismatching | SEQ : 20174741670, PART : 04578885AC, SCAN P52124713AD, CELL [2,1]
13:40:03:88 | I | Matching ok | SEQ : 20174741670, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
13:40:08:18 | I | Matching ok | SEQ : 20174741660, PART : 52124713AD, SCAN P52124713AD, CELL [2,2]
13:40:11:58 | I | Matching ok | SEQ : 20174741650, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
13:40:14:85 | I | Matching ok | SEQ : 20174741640, PART : 04578885AC, SCAN P04578885AC, CELL [2,4]
13:40:18:68 | I | Matching ok | SEQ : 20174741630, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
13:40:21:75 | I | Matching ok | SEQ : 20174741620, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
13:51:46:80 | I | Matching ok | SEQ : 20174741730, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
13:51:51:62 | I | Matching ok | SEQ : 20174741720, PART : 04578885AC, SCAN P04578885AC, CELL [1,2]
13:51:53:74 | I | Matching ok | SEQ : 20174741710, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
13:51:55:97 | I | Matching ok | SEQ : 20174741700, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
13:51:59:52 | I | Matching ok | SEQ : 20174741690, PART : 04578885AC, SCAN P04578885AC, CELL [1,5]
13:52:01:92 | I | Matching ok | SEQ : 20174741680, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
13:52:06:30 | I | Matching ok | SEQ : 20174741790, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
13:52:15:67 | I | Matching ok | SEQ : 20174741780, PART : 52124713AD, SCAN P52124713AD, CELL [2,2]
13:52:20:27 | I | Matching ok | SEQ : 20174741770, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
13:52:24:79 | I | Matching ok | SEQ : 20174741760, PART : 52124713AD, SCAN P52124713AD, CELL [2,4]
13:52:27:97 | I | Matching ok | SEQ : 20174741750, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
13:52:29:99 | I | Matching ok | SEQ : 20174741740, PART : N/A, SCAN N/A, CELL [2,6]
14:06:01:94 | I | Matching ok | SEQ : 20174741850, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
14:06:04:76 | I | Matching ok | SEQ : 20174741840, PART : 52124713AD, SCAN P52124713AD, CELL [1,2]
14:06:07:11 | I | Matching ok | SEQ : 20174741830, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
14:06:10:36 | I | Matching ok | SEQ : 20174741820, PART : 52124713AD, SCAN P52124713AD, CELL [1,4]
14:06:13:17 | I | Matching ok | SEQ : 20174741810, PART : 04578885AC, SCAN P04578885AC, CELL [1,5]
14:06:17:46 | I | Matching ok | SEQ : 20174741800, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
14:06:20:59 | I | Matching ok | SEQ : 20174741910, PART : 52124713AD, SCAN P52124713AD, CELL [2,1]
14:06:22:61 | I | Matching ok | SEQ : 20174741900, PART : N/A, SCAN N/A, CELL [2,2]
14:06:27:14 | I | Matching ok | SEQ : 20174741890, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
14:06:30:56 | I | Matching ok | SEQ : 20174741880, PART : 52124713AD, SCAN P52124713AD, CELL [2,4]
14:06:33:54 | I | Matching ok | SEQ : 20174741870, PART : 52124713AD, SCAN P52124713AD, CELL [2,5]
14:06:35:56 | I | Matching ok | SEQ : 20174741860, PART : N/A, SCAN N/A, CELL [2,6]
14:17:58:18 | I | Matching ok | SEQ : 20174741970, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
14:18:00:20 | I | Matching ok | SEQ : 20174741960, PART : N/A, SCAN N/A, CELL [1,2]
14:18:02:23 | I | Matching ok | SEQ : 20174741950, PART : N/A, SCAN N/A, CELL [1,3]
14:18:09:98 | I | Matching ok | SEQ : 20174741940, PART : 52124713AD, SCAN P52124713AD, CELL [1,4]
14:18:12:01 | I | Matching ok | SEQ : 20174741930, PART : N/A, SCAN N/A, CELL [1,5]
14:18:14:02 | I | Matching ok | SEQ : 20174741920, PART : N/A, SCAN N/A, CELL [1,6]
14:18:17:46 | I | Matching ok | SEQ : 20174742030, PART : 52124713AD, SCAN P52124713AD, CELL [2,1]
